start_ms,end_ms,type,description,exp_name
82058810,82078930,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82078930,82092514,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82092514,82101586,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82101586,82115298,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82115298,82124306,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82124306,82138466,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82138466,82148242,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82148242,82159074,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82159074,82168402,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82168402,82182562,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82182562,82191634,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82191634,82205538,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82205538,82214994,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82214994,82225506,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82225506,82296850,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82296850,82323042,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82323042,82334290,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82334290,82345250,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82345250,82355602,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82355602,82366690,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82366690,82377426,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82377426,82388194,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82388194,82397906,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82397906,82408610,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82408610,82419666,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82419666,82430562,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82430562,82439954,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82439954,82450530,down,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82450530,82460690,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82460690,82471074,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82471074,82480850,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82480850,82491746,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82491746,82505746,outside,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
82505746,82516514,up,,RoyTurgeman_Haari3_GalaxyZFlip6_10-4-2026
