start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776252198350,1776252221812,up,23.46,40,0.232,0.275
1776252247725,1776252264975,down,17.25,-460,0.748,0.404
1776252287821,1776252298779,down,10.96,400,-0.22,0.605
1776252322582,1776252340111,up,17.53,100,0.174,0.217
1776252372356,1776252388212,up,15.86,-500,0.132,0.245
1776252430929,1776252450251,down,19.32,320,-0.223,0.474
1776252519724,1776252532993,down,13.27,-500,0.671,0.553
1776252558626,1776252571974,down,13.35,-260,0.555,0.082
1776252602147,1776252627363,up,25.22,20,0.285,0.158
1776252711529,1776252736983,down,25.45,-20,0.243,0.344
1776252763773,1776252785245,up,21.47,260,0.118,0.148
1776252813469,1776252834263,down,20.79,200,0.17,0.083
