start_ms,end_ms,type,description,signalClearRecording,height_diff_m,exp_name
1776251614660,1776252200775,outside,,True,5.5,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252200775,1776252224237,up,,True,29.69,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252224237,1776252250150,outside,,True,0.0,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252250150,1776252267400,down,,True,-15.639999999999995,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252267400,1776252290246,outside,,True,0.0,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252290246,1776252301204,down,,True,-7.82,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252301204,1776252325007,outside,,True,0.0,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252325007,1776252342536,up,,True,15.64,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252342536,1776252374781,outside,,True,0.0,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252374781,1776252390637,up,,True,15.639999999999995,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252390637,1776252433354,outside,,True,-3.9099999999999966,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252433354,1776252452676,down,,True,-23.46,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252452676,1776252522149,outside,,True,3.91,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252522149,1776252535418,down,,True,-7.82,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252535418,1776252561051,outside,,True,0.0,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252561051,1776252574399,down,,True,-3.91,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252574399,1776252604572,outside,,True,-2.3200000000000003,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252604572,1776252629788,up,,True,33.6,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252629788,1776252713954,outside,,True,0.0,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252713954,1776252739408,down,,True,-33.6,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252739408,1776252766198,outside,,True,0.0,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252766198,1776252787670,up,,True,29.69,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252787670,1776252815894,outside,,True,0.0,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252815894,1776252836688,down,,True,-23.46,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
1776252836688,1776252908720,outside,,True,-3.91,UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4
