start_ms,end_ms,type,description,signalClearRecording,height_diff_m,exp_name
1776253120940,1776253662290,outside,,True,3.871255253303403,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253662290,1776253689098,up,,True,38.565775179061134,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253689098,1776253704022,outside,,True,-1.4842662810845013,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253704022,1776253730274,down,,True,-36.68563686853199,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253730274,1776253741096,outside,,True,0.88170617132144,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253741096,1776253758547,up,,True,18.257670501128487,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253758547,1776253770564,outside,,True,0.500790788621245,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253770564,1776253781603,up,,True,3.0100489801526464,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253781603,1776253809546,outside,,True,-4.500709601697892,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253809546,1776253821222,down,,True,-2.6522968396350564,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253821222,1776253838455,outside,,True,-0.06458570683990672,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253838455,1776253857058,down,,True,-16.044697950296367,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253857058,1776253875643,outside,,True,-1.66227615451686,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253875643,1776253888035,up,,True,2.945199773569996,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253888035,1776253902000,outside,,True,5.809263637667826,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253902000,1776253917817,up,,True,10.685037850310522,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253917817,1776253933775,outside,,True,3.866270627669465,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253933775,1776253946964,up,,True,7.4097774878471085,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253946964,1776253960453,outside,,True,-1.3361679130579773,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253960453,1776253980132,up,,True,21.6532750792786,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253980132,1776253995730,outside,,True,-1.7315963971872463,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776253995730,1776254008998,down,,True,-5.941110575711178,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254008998,1776254045700,outside,,True,0.11191716140466212,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254045700,1776254059240,down,,True,-4.534572523810937,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254060848,1776254076119,down,,True,-11.063848488485036,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254109848,1776254138050,up,,True,39.42216334072113,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254138050,1776254151818,outside,,True,1.822275542423398,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254151818,1776254179343,down,,True,-43.174895219192194,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254179343,1776254286083,outside,,True,0.26101198287300065,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254286083,1776254302776,down,,True,-13.071669207612906,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254302776,1776254355124,outside,,True,2.186903845769635,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254355124,1776254371816,up,,True,11.171404616069083,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254371816,1776254458215,outside,,True,-0.9130901773275184,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
1776254076923,1776254097552,down,,True,-17.048875093075722,UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5
