start_ms,end_ms,type,description,signalClearRecording,height_diff_m,exp_name
1776253129310,1776253663794,outside,,True,3.27,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253663794,1776253690602,up,,True,41.73,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253690602,1776253705526,outside,,True,-3.8500000000000014,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253705526,1776253731778,down,,True,-41.15,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253731778,1776253742600,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253742600,1776253760051,up,,True,18.05,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253760051,1776253772068,outside,,True,3.849999999999998,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253772068,1776253783107,up,,True,7.700000000000003,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253783107,1776253811050,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253811050,1776253822726,down,,True,-3.8500000000000014,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253822726,1776253839959,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253839959,1776253858562,down,,True,-19.25,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253858562,1776253877147,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253877147,1776253889539,up,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253889539,1776253903504,outside,,True,3.85,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253903504,1776253919321,up,,True,11.55,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253919321,1776253935279,outside,,True,-3.849999999999998,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253935279,1776253948468,up,,True,11.55,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253948468,1776253961957,outside,,True,-3.8500000000000014,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253961957,1776253981636,up,,True,19.25,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253981636,1776253997234,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776253997234,1776254010502,down,,True,-7.700000000000003,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254010502,1776254047204,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254047204,1776254060744,down,,True,-3.8499999999999934,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254062352,1776254077623,down,,True,-11.550000000000004,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254078427,1776254099056,down,,True,-21.9,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254111352,1776254139554,up,,True,45.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254139554,1776254153322,outside,,True,3.8500000000000014,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254153322,1776254180847,down,,True,-45.58,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254180847,1776254287587,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254287587,1776254304280,down,,True,-13.73,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254304280,1776254356628,outside,,True,2.950000000000001,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254356628,1776254373320,up,,True,10.78,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254373320,1776254459719,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
1776254459719,1776254460330,outside,,True,0.0,UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5
