start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776253662290,1776253689098,up,26.81,-500,0.303,0.216
1776253704022,1776253730274,down,26.25,-500,0.757,0.455
1776253741096,1776253758547,up,17.45,120,0.372,0.512
1776253770564,1776253781603,up,11.04,120,0.628,0.491
1776253809546,1776253821222,down,11.68,-400,0.072,0.417
1776253838455,1776253857058,down,18.6,-440,0.428,0.292
1776253875643,1776253888035,up,12.39,-500,0.299,0.257
1776253902000,1776253917817,up,15.82,160,0.137,0.516
1776253933775,1776253946964,up,13.19,-380,0.338,0.859
1776253960453,1776253980132,up,19.68,-20,0.271,0.41
1776253995730,1776254008998,down,13.27,-460,0.43,0.498
1776254045700,1776254059240,down,13.54,-480,0.961,0.156
1776254060848,1776254076119,down,15.27,-420,0.766,0.125
1776254109848,1776254138050,up,28.2,80,0.431,0.524
1776254151818,1776254179343,down,27.52,-500,0.658,0.203
1776254286083,1776254302776,down,16.69,-480,0.866,0.11
1776254355124,1776254371816,up,16.69,20,0.341,0.298
1776254076923,1776254097552,down,20.63,100,0.229,0.627
