start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776255517538,1776255551234,up,33.7,40,0.45,0.092
1776255557397,1776255570347,down,12.95,-20,0.999,0.05
1776255578381,1776255593362,down,14.98,-20,0.976,0.045
1776255600839,1776255611679,down,10.84,0,1.014,0.04
1776255620112,1776255633461,down,13.35,-20,0.961,0.052
1776255640300,1776255651299,down,11.0,0,0.983,0.064
1776255658776,1776255673679,down,14.9,0,0.963,0.051
1776255681594,1776255693589,down,11.99,-20,0.886,0.036
1776255701543,1776255715052,up,13.51,0,0.971,0.047
1776255722609,1776255735958,up,13.35,0,0.986,0.048
1776255744112,1776255755152,up,11.04,-20,0.999,0.044
1776255762510,1776255775978,up,13.47,-20,0.965,0.052
1776255784212,1776255799354,up,15.14,-20,0.463,0.149
1776255806950,1776255820539,up,13.59,-320,0.237,0.318
1776255829013,1776255839496,up,10.48,-20,0.555,0.302
1776256103462,1776256114620,down,11.16,120,0.352,0.4
1776256123570,1776256137198,down,13.63,-40,0.292,0.857
1776256144077,1776256161128,down,17.05,100,0.417,0.2
1776256167968,1776256187368,down,19.4,480,0.071,0.765
1776256195362,1776256208630,up,13.27,-20,0.3,0.312
1776256215907,1776256229136,up,13.23,0,0.988,0.044
1776256236253,1776256247570,up,11.32,0,0.988,0.062
1776256254967,1776256273729,up,18.76,0,0.907,0.058
1776256281366,1776256294555,up,13.19,0,0.979,0.045
1776256303027,1776256314105,up,11.08,0,1.016,0.042
1776256323135,1776256343452,down,20.32,0,0.914,0.061
1776256352322,1776256375107,down,22.79,0,0.941,0.039
1776256382424,1776256415839,up,33.41,0,0.411,0.077
1776256425346,1776256459119,down,33.77,120,-0.155,0.134
