start_ms,end_ms,type,description,exp_name
221704335,222208865,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222208865,222221737,down,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222221737,222227184,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222227184,222252480,down,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222252480,222257449,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222257449,222273505,down,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222273505,222278634,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222278634,222297279,down,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222297279,222505030,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222505030,222536496,up,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222536496,222540509,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222540509,222553259,up,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222553259,222558784,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222558784,222608606,up,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222608606,222612738,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222612738,222642412,up,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222642412,222651084,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222651084,222683624,down,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222683624,222784241,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222784241,222800378,up,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222800378,222808929,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222808929,222838724,up,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222838724,222854524,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222854524,222887464,down,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222887464,222901193,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222901193,222913467,up,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222913467,222923054,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222923054,222935128,down,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222935128,222954430,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222954430,222966543,up,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222966543,222977325,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
222977325,223042004,up,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
223042004,223046017,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
223046017,223057336,up,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
223057336,223062345,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
223062345,223143073,down,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
223143073,223149953,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
223149953,223162108,down,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
223162108,223174324,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
223174324,223196037,down,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
223196037,223274368,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp2
