timestamp_ms,x,y,z,exp_name
223911338,7.6738,-29.585,-21.5574,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911358,8.3692,-29.243399,-21.8746,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911378,6.7832,-30.0364,-21.35,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911398,6.4537997,-30.7074,-20.9474,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911418,5.4412,-31.268599,-21.0572,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911438,6.1488,-31.0978,-20.313,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911458,5.3192,-30.6342,-20.5082,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911478,5.5875998,-30.792799,-20.618,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911498,4.575,-30.5122,-19.7518,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911518,4.0138,-31.3174,-20.3008,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911538,3.6355999,-31.4394,-19.666399,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911558,3.965,-31.9518,-20.008,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911578,3.7942,-31.7078,-20.215399,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911598,4.0992,-31.658998,-19.6786,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911618,3.9894,-31.854198,-19.361399,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911638,4.2334,-32.3788,-19.703,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911658,3.8551998,-32.5008,-18.7514,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
223911678,3.7575998,-32.5008,-18.6416,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
