start_ms,end_ms,type,description,signalClearRecording,exp_name
1776250659028,1776250691633,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250691633,1776250707968,up,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250707968,1776250716998,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250716998,1776250727837,down,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250727837,1776250739415,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250739415,1776250750454,up,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250750454,1776250759842,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250759842,1776250771040,up,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250771040,1776250780110,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250780110,1776250792782,up,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250792782,1776250802928,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250802928,1776250815441,down,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250815441,1776250827338,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250827338,1776250842956,down,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250842956,1776250852902,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250852902,1776250865175,down,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250865175,1776250876474,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250876474,1776250899219,up,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250899219,1776250909324,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250909324,1776250922036,down,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250922036,1776250933773,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250933773,1776250949233,down,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250949233,1776250958222,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250958222,1776250970934,down,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
1776250970934,1776251113238,outside,,True,UriyaCohenEliya_milleniumHotel_GooglePixel10_15-04-2026_exp3
