start_ms,end_ms,type,description,exp_name
216202154,217192754,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217192754,217204112,down,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217204112,217209559,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217209559,217220201,down,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217220201,217225607,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217225607,217238479,down,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217238479,217243806,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217243806,217260420,down,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217260420,217265708,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217265708,217276428,down,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217276428,217282113,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217282113,217294347,down,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217294347,217299554,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217299554,217315052,down,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217315052,217394930,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217394930,217477729,down,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
217477729,219263992,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
219263992,219297127,up,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
219297127,219301219,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
219301219,219336662,up,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
219336662,219380774,outside,,UriyaCohenEliya_milleniumHotel_GooglePixel_15-04-2026_exp1
