segment_idx,type,start_ms,end_ms,raw_dh_m,corrected_dh_m,estimated_end_alt_m,snapped_floor,snap_distance_m
0,outside,1776248463080,1776248959185,1.8370992179297476,3.655000000000001,66.06209921792974,AC Equipment Roof,1.8179007820702535
3,down,1776248977504,1776249002800,-21.75458401985664,-23.275,38.79541598014336,Floor 4,1.520415980143362
4,outside,1776249002800,1776249007769,-7.092180631853267,-8.924999999999997,30.18281936814673,Floor 2,1.8328193681467295
10,up,1776249275786,1776249287895,1.6018295661299646,0.0,14.201829566129964,Dining Room & Kitchen,1.6018295661299646
19,outside,1776249433944,1776249534561,-6.829940876731584,-3.15,-3.679940876731584,Ground Floor,3.679940876731584
21,outside,1776249550698,1776249559249,-12.357889783407416,-6.3,-6.057889783407416,Ground Floor,6.057889783407416
34,up,1776249762870,1776249775556,3.71480778383436,5.350000000000001,26.71480778383436,Floor 2,1.6351922161656418
35,up,1776249776825,1776249794375,7.199455945097057,5.600000000000001,35.54945594509706,Floor 3,1.5994559450970556
40,down,1776249841278,1776249855656,-3.1489958747642106,-5.600000000000001,30.801004125235792,Floor 2,2.451004125235791
45,down,1776249924644,1776249946357,-15.1265316269168,0.0,-15.1265316269168,Ground Floor,15.1265316269168
46,outside,1776249946357,1776250019140,-7.910245012565952,0.0,-7.910245012565952,Ground Floor,7.910245012565952
