start_ms,end_ms,type,description,exp_name
101069321,101573851,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101573851,101586723,down,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101586723,101592170,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101592170,101617466,down,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101617466,101622435,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101622435,101638491,down,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101638491,101643620,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101643620,101662265,down,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101662265,101870016,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101870016,101901482,up,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101901482,101905495,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101905495,101918245,up,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101918245,101923770,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101923770,101973592,up,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101973592,101977724,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
101977724,102007398,up,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102007398,102016070,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102016070,102048610,down,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102048610,102149227,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102149227,102165364,up,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102165364,102173915,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102173915,102203710,up,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102203710,102219510,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102219510,102252450,down,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102252450,102266179,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102266179,102278453,up,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102278453,102288040,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102288040,102300114,down,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102300114,102319416,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102319416,102331529,up,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102331529,102342311,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102342311,102406990,up,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102406990,102411003,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102411003,102422322,up,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102422322,102427331,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102427331,102508059,down,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102508059,102514939,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102514939,102527094,down,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102527094,102539310,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102539310,102561023,down,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
102561023,102639354,outside,,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp2
