start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776248956577,1776248969449,down,12.87,20,0.965,0.05
1776248974896,1776249000192,down,25.3,20,0.993,0.025
1776249005161,1776249021217,down,16.06,0,1.01,0.027
1776249026346,1776249044991,down,18.64,0,1.01,0.021
1776249252742,1776249271581,up,18.84,460,0.252,0.358
1776249273178,1776249285287,up,12.11,20,1.035,0.017
1776249288221,1776249300971,up,12.75,20,0.976,0.034
1776249306496,1776249319884,up,13.39,20,0.961,0.043
1776249321724,1776249336736,up,15.01,20,1.017,0.024
1776249359477,1776249372798,up,13.32,0,1.027,0.022
1776249374066,1776249392975,up,18.91,0,0.928,0.04
1776249398796,1776249431336,down,32.54,20,0.699,0.053
1776249531953,1776249548090,up,16.14,-300,0.633,0.144
1776249556641,1776249586436,up,29.8,20,0.996,0.032
1776249602236,1776249635176,down,32.94,20,0.966,0.037
1776249648905,1776249661179,up,12.27,160,0.682,0.108
1776249670766,1776249682840,down,12.07,20,0.942,0.086
1776249702142,1776249714255,up,12.11,-360,0.712,0.119
1776249725037,1776249742712,up,17.68,20,0.977,0.053
1776249744403,1776249757936,up,13.53,20,0.958,0.08
1776249793729,1776249806050,up,12.32,20,1.0,0.059
1776249810057,1776249821543,down,11.49,20,0.942,0.078
1776249897665,1776249909820,down,12.15,20,0.989,0.051
1776249922036,1776249943749,down,21.71,180,0.399,0.059
1776249338851,1776249355343,up,16.49,20,1.015,0.021
1776249760262,1776249772948,up,12.69,20,1.029,0.035
1776249774217,1776249791767,up,17.55,20,0.825,0.088
1776249824080,1776249837401,down,13.32,20,1.004,0.057
1776249838670,1776249853048,down,14.38,20,0.969,0.046
1776249855163,1776249874615,down,19.45,20,0.936,0.068
1776249875884,1776249894280,down,18.4,20,1.01,0.034
