timestamp_ms,x,y,z,exp_name
103256470,-7.9500003,-20.1,-20.737501,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256490,-7.8750005,-20.15625,-20.493752,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256510,-7.89375,-20.04375,-20.831251,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256530,-7.8562503,-20.34375,-20.41875,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256550,-7.9125004,-20.456251,-20.5125,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256570,-7.8187504,-20.71875,-20.8125,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256590,-7.6312504,-20.7,-20.8875,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256610,-7.5375004,-20.6625,-20.925001,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256630,-7.6875005,-20.8125,-20.831251,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256650,-7.5937505,-21.018751,-20.7,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256670,-7.5937505,-21.393751,-20.775002,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256690,-7.6125,-21.35625,-20.85,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256710,-7.51875,-21.393751,-20.71875,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256730,-7.4625,-21.1875,-20.681252,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256750,-7.4625,-21.13125,-20.625,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256770,-7.6312504,-21.243752,-20.681252,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256790,-7.6312504,-21.206251,-20.79375,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256810,-7.5750003,-21.112501,-20.98125,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256830,-7.5750003,-21.0375,-20.75625,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256850,-7.36875,-21.13125,-21.018751,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256870,-7.4062505,-21.112501,-21.150002,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256890,-7.425,-21.09375,-20.962502,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256910,-7.2000003,-21.225,-20.962502,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256930,-6.9750004,-21.1875,-20.90625,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256950,-6.8625,-20.98125,-21.1875,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256970,-7.0312505,-20.85,-21.28125,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256990,-7.0125003,-20.53125,-21.7875,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257010,-7.2375,-20.5125,-21.6375,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
