timestamp_ms,x,y,z,bias_x,bias_y,bias_z,exp_name
103256550,-16.125,34.237503,-157.74376,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256570,-15.69375,33.65625,-158.4375,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256590,-15.31875,33.975002,-158.3625,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256610,-15.20625,34.162502,-158.2875,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256630,-15.58125,34.10625,-157.9875,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256650,-15.468751,33.975002,-157.66876,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256670,-15.525001,33.75,-157.85626,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256690,-15.562501,33.80625,-157.70625,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256710,-15.468751,33.768753,-157.55626,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256730,-15.431251,33.975002,-157.51875,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256750,-15.4125,34.0125,-157.46251,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256770,-15.58125,33.91875,-157.51875,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256790,-15.6,33.956253,-157.65001,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256810,-15.525001,34.050003,-157.83751,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256830,-15.525001,34.125,-157.6125,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256850,-15.31875,34.03125,-157.875,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256870,-15.356251,34.050003,-157.9875,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256890,-15.375001,34.068752,-157.81876,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256910,-15.150001,33.9375,-157.81876,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256930,-14.94375,33.975002,-157.76251,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256950,-14.812501,34.18125,-158.04376,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256970,-15.000001,34.3125,-158.13751,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103256990,-14.981251,34.631252,-158.64375,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257010,-15.20625,34.65,-158.49376,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257030,-15.281251,34.78125,-158.2875,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257050,-15.4125,34.65,-158.625,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257070,-15.825001,34.800003,-158.58751,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257090,-16.1625,35.006252,-158.55,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257110,-16.275002,34.74375,-158.30626,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257130,-16.29375,34.612503,-158.40001,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257150,-16.21875,34.575,-158.0625,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257170,-16.10625,34.706253,-157.95001,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257190,-16.03125,34.725002,-158.30626,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257210,-15.918751,34.893753,-157.93126,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257230,-16.03125,34.7625,-158.08125,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
103257250,-15.95625,34.65,-158.13751,-7.9595513,55.161182,-136.85078,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
