start_ms,end_ms,type,description,signalClearRecording,height_diff_m,exp_name
1776250650280,1776250660725,outside,,True,4.313672474849696,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250660725,1776250693330,outside,,True,7.576740172148774,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250693330,1776250709665,up,,True,2.231325086086244,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250709665,1776250718695,outside,,True,-3.3928121180792488,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250718695,1776250729534,down,,True,-0.0718665187580711,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250729534,1776250741112,outside,,True,3.644635646659992,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250741112,1776250752151,up,,True,-0.104085470318239,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250752151,1776250761539,outside,,True,4.2519936451322025,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250761539,1776250772737,up,,True,-0.0438561952607727,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250772737,1776250781807,outside,,True,6.303152516510679,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250781807,1776250794479,up,,True,0.0949150038047719,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250794479,1776250804625,outside,,True,-6.257771323331738,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250804625,1776250817138,down,,True,-0.0277082565717563,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250817138,1776250829035,outside,,True,-9.347957909407498,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250829035,1776250844653,down,,True,-1.5140631573794394,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250844653,1776250854599,outside,,True,-6.304097594195959,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250854599,1776250866872,down,,True,0.4593761362182604,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250866872,1776250878171,outside,,True,10.201281755677243,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250878171,1776250900916,up,,True,13.114908862339092,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250900916,1776250911021,outside,,True,-6.233920079679862,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250911021,1776250923733,down,,True,-0.1041273141430991,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250923733,1776250935470,outside,,True,-9.624843830973091,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250935470,1776250950930,down,,True,-1.0853474156177896,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250950930,1776250959919,outside,,True,-6.115961079780689,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250959919,1776250972631,down,,True,-3.18194758353507,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
1776250972631,1776251107620,outside,,True,4.6378590509688,UriyaCohenEliya_milleniumHotel_SamsungSM-A235F_15-04-2026_exp3
