timestamp_ms,x,y,z,exp_name
1776242945841,0.056250002,-40.96875,-6.01875,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242945861,-0.95625,-39.80625,-6.24375,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242945881,-0.75,-39.862503,-6.5625005,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242945901,-0.65625,-39.84375,-6.3187504,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242945921,-0.91875005,-39.80625,-6.5062504,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242945941,-0.99375004,-39.525,-6.4687505,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242945961,-1.125,-39.54375,-6.525,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242945981,-1.2,-39.393753,-6.6000004,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946001,-1.3312501,-39.09375,-6.61875,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946021,-1.06875,-39.16875,-6.5062504,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946041,-1.0125,-39.15,-6.2625003,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946061,-0.91875005,-38.9625,-6.2250004,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946081,-0.71250004,-39.0,-6.15,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946101,-0.50625,-39.225002,-6.0375004,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946121,-0.22500001,-39.24375,-5.6062503,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946141,0.0375,-39.581253,-5.3250003,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946161,-0.0375,-39.881252,-5.26875,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946181,0.20625001,-40.0125,-5.0437503,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946201,0.31875002,-39.862503,-5.2312503,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946221,0.43125,-40.050003,-5.2125,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946241,0.80625004,-39.99375,-4.96875,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946261,1.0125,-40.068752,-4.9500003,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946281,1.2,-40.275,-5.26875,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946301,1.5562501,-40.36875,-5.15625,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946321,2.1000001,-40.125,-5.0062504,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946341,2.1000001,-40.21875,-5.0625,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946361,2.30625,-40.55625,-4.70625,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946381,2.7562501,-40.725002,-4.275,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946401,3.0187502,-41.100002,-4.1625004,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946421,3.35625,-41.325,-3.9562502,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946441,3.5812502,-41.4375,-3.6750002,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946461,3.80625,-41.4,-3.61875,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946481,4.2375,-41.737503,-3.54375,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946501,4.6875,-41.86875,-3.525,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946521,4.89375,-41.850002,-3.6750002,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946541,4.8375,-41.86875,-4.05,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946561,4.8187504,-41.643753,-4.2000003,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946581,4.6312504,-41.268753,-4.3875003,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946601,4.51875,-40.7625,-4.89375,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946621,4.18125,-40.59375,-5.34375,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946641,3.7500002,-40.162502,-5.5875,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946661,3.2625,-39.9375,-5.90625,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242946681,2.7375002,-39.5625,-6.0750003,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
