start_ms,end_ms,type,description,signalClearRecording,height_diff_m,exp_name
1776242943497,1776242954947,outside,,True,-3.152602880163286,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776242954947,1776243945547,outside,,True,-1.7960768517225034,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776243945547,1776243956905,down,,True,-0.5202677727939715,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776243956905,1776243962352,outside,,True,-2.220543188146877,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776243962352,1776243972994,down,,True,-1.000998289809644,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776243972994,1776243978400,outside,,True,-5.649775572946368,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776243978400,1776243991272,down,,True,-0.6901356296746712,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776243991272,1776243996599,outside,,True,-8.299949541566875,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776243996599,1776244013213,down,,True,-4.373868575008672,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776244013213,1776244018501,outside,,True,-2.349092529814172,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776244018501,1776244029221,down,,True,-0.4483788599875851,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776244029221,1776244034906,outside,,True,-5.06475165085142,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776244034906,1776244047140,down,,True,-0.6966058431523976,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776244047140,1776244052347,outside,,True,-8.220332084780495,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776244052347,1776244067845,down,,True,-0.6200106993350829,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776244067845,1776244147723,outside,,True,-3.9862027279552947,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776244147723,1776244230522,outside,,True,-2.2957837033189676,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776244230522,1776246016785,outside,,True,9.97242542510508,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776246016785,1776246050171,up,,True,33.99377897581765,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776246049920,1776246054012,outside,,True,6.586892673467133,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776246054012,1776246069786,up,,True,5.050661096474499,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776246072380,1776246088289,up,,True,9.032600684208006,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776246089455,1776246133567,outside,,True,-1.6208424742731466,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
1776246133567,1776246145645,outside,,True,0.0,UriyaCohenEliya_milleniumHotel_Xiaomi22101320I_15-04-2026_exp1
