start_ms,end_ms,type,description,signalClearRecording,height_diff_m,exp_name
1776251615700,1776251639218,outside,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776251639218,1776252225815,outside,,True,31.28,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252225815,1776252249277,up,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252249277,1776252275190,outside,,True,-15.64,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252275190,1776252292440,down,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252292440,1776252315286,outside,,True,-3.91,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252315286,1776252326244,down,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252326244,1776252350047,outside,,True,15.64,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252350047,1776252367576,up,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252367576,1776252399821,outside,,True,11.73,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252399821,1776252415677,up,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252415677,1776252458394,outside,,True,-19.55,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252458394,1776252477716,down,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252477716,1776252547189,outside,,True,-7.82,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252547189,1776252560458,down,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252560458,1776252586091,outside,,True,-6.23,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252586091,1776252599439,down,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252599439,1776252629612,outside,,True,33.6,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252629612,1776252654828,up,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252654828,1776252738994,outside,,True,-31.28,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252738994,1776252764448,down,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252764448,1776252791238,outside,,True,23.46,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252791238,1776252812710,up,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252812710,1776252840934,outside,,True,-23.46,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252840934,1776252861728,down,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
1776252861728,1776252913174,outside,,True,0.0,eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4
