start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776252198350,1776252221812,up,23.46,-300,0.26,0.35
1776252247725,1776252264975,down,17.25,260,-0.139,0.328
1776252287821,1776252298779,down,10.96,-360,-0.195,0.57
1776252322582,1776252340111,up,17.53,-500,0.178,0.28
1776252372356,1776252388212,up,15.86,-220,0.327,0.326
1776252430929,1776252450251,down,19.32,-460,0.203,0.522
1776252519724,1776252532993,down,13.27,-440,0.515,0.565
1776252558626,1776252571974,down,13.35,360,0.058,0.254
1776252602147,1776252627363,up,25.22,-200,0.494,0.31
1776252711529,1776252736983,down,25.45,200,0.221,0.252
1776252763773,1776252785245,up,21.47,400,0.095,0.205
1776252813469,1776252834263,down,20.79,-500,0.303,0.268
