start_ms,end_ms,type,description,signalClearRecording,height_diff_m,exp_name
1776251612804,1776251613322,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776251613322,1776252199919,outside,,True,5.5,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252199919,1776252223381,up,,True,29.69,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252223381,1776252249294,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252249294,1776252266544,down,,True,-15.639999999999995,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252266544,1776252289390,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252289390,1776252300348,down,,True,-3.91,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252300348,1776252324151,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252324151,1776252341680,up,,True,15.64,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252341680,1776252373925,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252373925,1776252389781,up,,True,11.729999999999997,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252389781,1776252432498,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252432498,1776252451820,down,,True,-19.55,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252451820,1776252521293,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252521293,1776252534562,down,,True,-7.82,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252534562,1776252560195,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252560195,1776252573543,down,,True,-7.82,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252573543,1776252603716,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252603716,1776252628932,up,,True,31.28,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252628932,1776252713098,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252713098,1776252738552,down,,True,-31.28,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252738552,1776252765342,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252765342,1776252786814,up,,True,23.46,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252786814,1776252815038,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252815038,1776252835832,down,,True,-23.46,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252835832,1776252909054,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
1776252909054,1776252917019,outside,,True,0.0,eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4
