start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776252198350,1776252221812,up,23.46,-20,0.212,0.487
1776252247725,1776252264975,down,17.25,140,0.104,0.312
1776252287821,1776252298779,down,10.96,-360,0.633,0.25
1776252322582,1776252340111,up,17.53,-260,0.385,0.443
1776252372356,1776252388212,up,15.86,-120,0.224,0.361
1776252430929,1776252450251,down,19.32,440,0.018,0.479
1776252519724,1776252532993,down,13.27,-500,0.472,0.668
1776252558626,1776252571974,down,13.35,-280,0.277,0.293
1776252602147,1776252627363,up,25.22,-480,0.542,0.269
1776252711529,1776252736983,down,25.45,-260,0.315,0.23
1776252763773,1776252785245,up,21.47,-420,0.416,0.199
1776252813469,1776252834263,down,20.79,-120,0.476,0.2
