start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776253662290,1776253689098,up,26.81,-380,0.183,0.289
1776253704022,1776253730274,down,26.25,160,-0.193,0.404
1776253741096,1776253758547,up,17.45,420,0.336,0.717
1776253770564,1776253781603,up,11.04,-400,0.61,0.969
1776253809546,1776253821222,down,11.68,-500,-0.052,0.387
1776253838455,1776253857058,down,18.6,-500,0.46,0.198
1776253875643,1776253888035,up,12.39,260,0.255,0.577
1776253902000,1776253917817,up,15.82,-200,0.401,0.398
1776253933775,1776253946964,up,13.19,-480,0.617,1.39
1776253960453,1776253980132,up,19.68,220,0.254,0.376
1776253995730,1776254008998,down,13.27,-420,0.731,0.781
1776254045700,1776254059240,down,13.54,-500,0.681,0.23
1776254060848,1776254076119,down,15.27,-500,0.638,0.154
1776254109848,1776254138050,up,28.2,0,0.245,0.346
1776254151818,1776254179343,down,27.52,-500,0.451,0.248
1776254286083,1776254302776,down,16.69,-500,0.769,0.173
1776254355124,1776254371816,up,16.69,-40,0.315,0.315
1776254076923,1776254097552,down,20.63,-260,0.356,0.527
