start_ms,end_ms,type,description,signalClearRecording,height_diff_m,exp_name
1776253120635,1776253121769,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253121769,1776253663119,outside,,True,3.27,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253663119,1776253689927,up,,True,41.73,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253689927,1776253704851,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253704851,1776253731103,down,,True,-41.73,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253731103,1776253741925,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253741925,1776253759376,up,,True,18.63,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253759376,1776253771393,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253771393,1776253782432,up,,True,3.8500000000000014,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253782432,1776253810375,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253810375,1776253822051,down,,True,-3.8500000000000014,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253822051,1776253839284,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253839284,1776253857887,down,,True,-18.63,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253857887,1776253876472,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253876472,1776253888864,up,,True,7.08,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253888864,1776253902829,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253902829,1776253918646,up,,True,11.55,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253918646,1776253934604,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253934604,1776253947793,up,,True,7.700000000000003,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253947793,1776253961282,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253961282,1776253980961,up,,True,19.25,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253980961,1776253996559,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776253996559,1776254009827,down,,True,-7.700000000000003,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254009827,1776254046529,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254046529,1776254060069,down,,True,-3.8500000000000014,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254061677,1776254076948,down,,True,-11.549999999999995,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254077752,1776254098381,down,,True,-22.48,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254110677,1776254138879,up,,True,45.58,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254138879,1776254152647,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254152647,1776254180172,down,,True,-45.58,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254180172,1776254286912,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254286912,1776254303605,down,,True,-13.73,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254303605,1776254355953,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254355953,1776254372645,up,,True,13.73,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
1776254372645,1776254458002,outside,,True,0.0,eyalyakir_beitMansour1_Xiaomi22101320I_15-04-2026_exp5
