start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776253662290,1776253689098,up,26.81,-500,0.411,0.256
1776253704022,1776253730274,down,26.25,-380,0.642,0.24
1776253741096,1776253758547,up,17.45,280,0.365,0.64
1776253770564,1776253781603,up,11.04,-500,0.371,0.808
1776253809546,1776253821222,down,11.68,-120,0.209,0.48
1776253838455,1776253857058,down,18.6,-500,0.319,0.21
1776253875643,1776253888035,up,12.39,120,0.252,0.373
1776253902000,1776253917817,up,15.82,-340,0.46,0.504
1776253933775,1776253946964,up,13.19,120,0.106,0.876
1776253960453,1776253980132,up,19.68,-60,0.259,0.338
1776253995730,1776254008998,down,13.27,40,0.28,1.352
1776254045700,1776254059240,down,13.54,-480,0.629,0.252
1776254060848,1776254076119,down,15.27,-500,0.495,0.162
1776254109848,1776254138050,up,28.2,460,-0.112,0.43
1776254151818,1776254179343,down,27.52,-460,0.498,0.447
1776254286083,1776254302776,down,16.69,-500,0.569,0.193
1776254355124,1776254371816,up,16.69,-180,0.308,0.331
1776254076923,1776254097552,down,20.63,-500,0.554,0.519
