start_ms,end_ms,type,description,signalClearRecording,height_diff_m,exp_name
1776254750000,1776254778335,outside,,True,0.4257035562044251,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776254778335,1776255519859,outside,,True,43.867269775660745,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255519859,1776255553555,up,,True,-1.922634608930366,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255553555,1776255559718,outside,,True,-1.6733201672044942,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255559718,1776255572668,down,,True,-9.128856716654397,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255572668,1776255580702,outside,,True,0.03280676521896453,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255580702,1776255595683,down,,True,-3.4475751230137632,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255595683,1776255603160,outside,,True,-4.454243740094199,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255603160,1776255614000,down,,True,-2.570931247649483,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255614000,1776255622433,outside,,True,-2.7588232048527317,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255622433,1776255635782,down,,True,-0.8632694574219215,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255635782,1776255642621,outside,,True,-6.22481499988649,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255642621,1776255653620,down,,True,-3.8690444395729884,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255653620,1776255661097,outside,,True,-0.028533758854621283,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255661097,1776255676000,down,,True,-4.731676205147693,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255676000,1776255683915,outside,,True,3.511160035431004,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255683915,1776255695910,down,,True,3.9690194888841575,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255695910,1776255703864,outside,,True,1.578211476587697,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255703864,1776255717373,up,,True,5.562610335226196,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255717373,1776255724930,outside,,True,1.0644737748294517,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255724930,1776255738279,up,,True,2.3344108479593757,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255738279,1776255746433,outside,,True,6.078523110422097,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255746433,1776255757473,up,,True,1.2049748865532308,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255757473,1776255764831,outside,,True,0.6857130806358072,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255764831,1776255778299,up,,True,10.024375483676891,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255778299,1776255786533,outside,,True,0.4070165729362145,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255786533,1776255801675,up,,True,6.60761967224056,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255801675,1776255809271,outside,,True,0.49363329633948183,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255809271,1776255822860,up,,True,2.6530474113951925,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255822860,1776255831334,outside,,True,0.4091805333835197,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255831334,1776255841817,up,,True,2.4972485997444807,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776255841817,1776256104029,outside,,True,-6.1698306533583605,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256105783,1776256116941,down,,True,-4.411704067108417,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256116941,1776256125891,outside,,True,-2.588378005273796,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256125891,1776256139519,down,,True,-12.070341872479531,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256139519,1776256146398,outside,,True,0.047478852073027156,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256146398,1776256163449,down,,True,-18.694154685753745,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256163449,1776256170289,outside,,True,0.18655814258046632,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256170289,1776256189689,down,,True,7.627086577335618,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256189689,1776256197683,outside,,True,2.387964653265314,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256197683,1776256210951,up,,True,4.7221707137300655,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256210951,1776256218228,outside,,True,2.4654163899288477,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256218228,1776256231457,up,,True,1.2638095532839912,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256231457,1776256238574,outside,,True,6.2840563597231665,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256238574,1776256249891,up,,True,11.775931506563907,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256249891,1776256257288,outside,,True,-0.1128031738170705,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256257288,1776256276050,up,,True,7.2119940806635014,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
1776256276050,1776256283687,outside,,True,0.7298775411958758,eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6
