start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776255517538,1776255551234,up,33.7,420,0.468,0.1
1776255557397,1776255570347,down,12.95,-20,0.885,0.094
1776255578381,1776255593362,down,14.98,-20,0.866,0.08
1776255600839,1776255611679,down,10.84,-20,0.979,0.074
1776255620112,1776255633461,down,13.35,-20,0.876,0.097
1776255640300,1776255651299,down,11.0,-20,0.933,0.092
1776255658776,1776255673679,down,14.9,-20,0.782,0.1
1776255681594,1776255693589,down,11.99,0,0.86,0.103
1776255701543,1776255715052,up,13.51,-20,0.905,0.07
1776255722609,1776255735958,up,13.35,-20,0.892,0.077
1776255744112,1776255755152,up,11.04,0,1.001,0.053
1776255762510,1776255775978,up,13.47,-20,0.891,0.081
1776255784212,1776255799354,up,15.14,-20,0.576,0.117
1776255806950,1776255820539,up,13.59,-20,0.299,0.243
1776255829013,1776255839496,up,10.48,-20,0.726,0.142
1776256103462,1776256114620,down,11.16,-240,0.297,0.466
1776256123570,1776256137198,down,13.63,-60,0.228,0.855
1776256144077,1776256161128,down,17.05,-40,0.401,0.196
1776256167968,1776256187368,down,19.4,500,0.03,0.864
1776256195362,1776256208630,up,13.27,-340,0.147,0.422
1776256215907,1776256229136,up,13.23,0,0.812,0.095
1776256236253,1776256247570,up,11.32,-20,0.961,0.088
1776256254967,1776256273729,up,18.76,0,0.73,0.08
1776256281366,1776256294555,up,13.19,0,0.776,0.113
1776256303027,1776256314105,up,11.08,0,0.825,0.122
1776256323135,1776256343452,down,20.32,0,0.861,0.073
1776256352322,1776256375107,down,22.79,20,0.548,0.107
1776256382424,1776256415839,up,33.41,-20,0.512,0.094
1776256425346,1776256459119,down,33.77,-320,0.289,1.103
