timestamp_ms,x,y,z,bias_x,bias_y,bias_z,exp_name
107361405,-178.03125,-548.025,33.7125,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361425,-178.81876,-548.25,35.006252,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361445,-178.63126,-547.5563,35.04375,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361465,-178.33125,-547.95,35.53125,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361485,-178.5375,-548.0625,35.60625,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361505,-178.5,-547.9313,35.662502,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361525,-178.25626,-548.1188,35.71875,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361545,-178.27501,-548.1188,35.8125,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361565,-178.3125,-548.0813,36.131252,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361585,-178.18126,-547.95,36.15,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361605,-178.05,-548.0813,35.9625,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361625,-178.21875,-548.1375,35.7,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361645,-178.03125,-548.0625,35.49375,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361665,-177.99376,-548.10004,35.34375,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361685,-178.3125,-547.91254,35.287502,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361705,-178.33125,-548.04376,35.268753,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361725,-178.27501,-548.10004,35.325,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361745,-178.18126,-548.3063,35.1375,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361765,-178.3125,-548.2688,35.4375,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361785,-178.3125,-547.8375,35.325,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361805,-178.46251,-547.91254,35.41875,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361825,-178.55626,-548.04376,35.5875,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361845,-178.65001,-548.025,35.71875,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361865,-178.63126,-547.91254,35.737503,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361885,-178.83751,-548.10004,35.5875,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361905,-178.89375,-547.96875,35.7,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361925,-179.00626,-548.3813,35.8125,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361945,-179.1,-548.5688,36.0,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361965,-179.15625,-548.625,36.075,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107361985,-179.19376,-548.7563,36.05625,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107362005,-179.11876,-548.8688,36.037502,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107362025,-179.23126,-548.9438,36.037502,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
107362045,-179.13751,-548.7563,36.2625,-108.0,-600.72,78.36,eyalyakir_beitYitzchakiRaanana_Xiaomi22101320I_15-04-2026_exp6
