start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776255517538,1776255551234,up,33.7,40,0.42,0.097
1776255557397,1776255570347,down,12.95,0,0.867,0.098
1776255578381,1776255593362,down,14.98,20,0.846,0.081
1776255600839,1776255611679,down,10.84,0,0.967,0.075
1776255620112,1776255633461,down,13.35,20,0.861,0.101
1776255640300,1776255651299,down,11.0,20,0.923,0.097
1776255658776,1776255673679,down,14.9,0,0.77,0.101
1776255681594,1776255693589,down,11.99,20,0.831,0.107
1776255701543,1776255715052,up,13.51,20,0.901,0.079
1776255722609,1776255735958,up,13.35,20,0.877,0.093
1776255744112,1776255755152,up,11.04,20,1.005,0.06
1776255762510,1776255775978,up,13.47,0,0.885,0.085
1776255784212,1776255799354,up,15.14,0,0.558,0.119
1776255806950,1776255820539,up,13.59,20,0.276,0.256
1776255829013,1776255839496,up,10.48,20,0.725,0.141
1776256103462,1776256114620,down,11.16,-220,0.295,0.5
1776256123570,1776256137198,down,13.63,40,0.229,0.858
1776256144077,1776256161128,down,17.05,20,0.396,0.201
1776256167968,1776256187368,down,19.4,500,0.023,0.857
1776256195362,1776256208630,up,13.27,420,0.127,0.449
1776256215907,1776256229136,up,13.23,0,0.0,0.171
1776256236253,1776256247570,up,11.32,0,0.0,0.213
1776256254967,1776256273729,up,18.76,0,0.0,0.14
1776256281366,1776256294555,up,13.19,20,0.699,0.115
1776256303027,1776256314105,up,11.08,0,0.0,0.219
1776256323135,1776256343452,down,20.32,0,0.0,0.134
1776256352322,1776256375107,down,22.79,0,0.0,0.124
1776256382424,1776256415839,up,33.41,0,0.0,0.115
1776256425346,1776256459119,down,33.77,0,0.0,0.265
