start_ms,end_ms,type,description,signalClearRecording,height_diff_m,exp_name
1776242948880,1776242957330,outside,,True,0.0,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776242957330,1776243947930,outside,,True,0.0,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776243947930,1776243959288,down,,True,-3.674999999999997,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776243959288,1776243964735,outside,,True,0.0,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776243964735,1776243975377,down,,True,-3.324999999999996,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776243975377,1776243980783,outside,,True,0.0,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776243980783,1776243993655,down,,True,-6.649999999999999,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776243993655,1776243998982,outside,,True,0.0,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776243998982,1776244015596,down,,True,-13.300000000000004,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776244015596,1776244020884,outside,,True,0.0,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776244020884,1776244031604,down,,True,-3.324999999999996,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776244031604,1776244037289,outside,,True,0.0,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776244037289,1776244049523,down,,True,-5.600000000000001,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776244049523,1776244054730,outside,,True,0.0,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776244054730,1776244070228,down,,True,-8.75,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776244070228,1776244150106,outside,,True,-2.8000000000000007,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776244150106,1776244232905,outside,,True,-10.5,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776244232905,1776246019168,outside,,True,-3.15,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776246019168,1776246052554,up,,True,40.775,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776246052303,1776246056395,outside,,True,0.0,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776246056395,1776246072169,up,,True,13.300000000000004,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776246074763,1776246090672,up,,True,10.654999999999994,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776246091838,1776246135950,outside,,True,0.0,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
1776246135950,1776246136503,outside,,True,0.0,eyalyakir_milleniumHotel_SamsungSM-A235F_15-04-2026_exp1
