start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776243940652,1776243952010,down,11.36,300,0.555,0.204
1776243957457,1776243968099,down,10.64,20,0.802,0.085
1776243973505,1776243986377,down,12.87,20,1.032,0.022
1776243991704,1776244008318,down,16.61,20,1.021,0.025
1776244013606,1776244024326,down,10.72,20,1.035,0.026
1776244030011,1776244042245,down,12.23,20,1.02,0.037
1776244047452,1776244062950,down,15.5,60,0.424,0.421
1776246011890,1776246045276,up,33.39,0,0.304,0.207
1776246049117,1776246064891,up,15.77,40,1.02,0.048
1776246067485,1776246083394,up,15.91,40,0.396,0.205
