segment_idx,type,start_ms,end_ms,raw_dh_m,corrected_dh_m,estimated_end_alt_m,snapped_floor,snap_distance_m
1,outside,1776248478335,1776248982865,-12.07479171559558,-13.649999999999991,52.150208284404414,Floor 8,1.575208284404411
10,up,1776249279030,1776249297869,7.869696679278547,6.199999999999999,24.669696679278548,Floor 1,1.669696679278548
13,outside,1776249327259,1776249332784,7.973234182884738,5.350000000000001,30.973234182884735,Floor 2,2.6232341828847368
14,up,1776249332784,1776249346172,3.1012981533946657,5.600000000000001,31.451298153394667,Floor 3,2.498701846605336
25,down,1776249628524,1776249661464,1.7551971266908453,0.0,24.755197126690845,Floor 1,1.7551971266908453
29,down,1776249697054,1776249709128,4.341788940891362,2.8000000000000007,21.141788940891363,Mezzanine,1.5417889408913616
31,up,1776249728430,1776249740543,12.51435976805297,14.35,32.11435976805297,Floor 3,1.835640231947032
34,up,1776249770691,1776249784224,4.940632180087022,3.325000000000003,52.19063218008702,Floor 8,1.6156321800870188
35,up,1776249786550,1776249799236,1.7820801294165278,3.324999999999996,52.35708012941653,Floor 9,1.542919870583468
45,outside,1776249936108,1776249948324,-7.057011289667884,0.0,-7.057011289667884,Ground Floor,7.057011289667884
