start_ms,end_ms,type,description,exp_name
6887561,7400161,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7400161,7413281,down,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7413281,7418721,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7418721,7444001,down,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7444001,7449041,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7449041,7464962,down,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7464962,7470121,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7470121,7488761,down,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7488761,7696721,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7696721,7744801,up,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7744801,7750281,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7750281,7800161,up,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7800161,7804281,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7804281,7833881,up,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7833881,7842642,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7842642,7875161,down,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7875161,7975681,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7975681,7987881,up,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
7987881,8000401,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8000401,8030241,up,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8030241,8046161,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8046161,8079001,down,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8079001,8092681,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8092681,8104841,up,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8104841,8114601,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8114601,8126841,down,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8126841,8145961,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8145961,8158081,up,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8158081,8168921,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8168921,8233401,up,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8233401,8237441,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8237441,8248561,up,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8248561,8254001,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8254001,8334561,down,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8334561,8341481,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8341481,8353641,down,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8353641,8365841,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8365841,8387921,down,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
8387921,8464801,outside,,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp2
