timestamp_ms,x,y,z,exp_name
9090741,-12.8625,-35.68125,-15.4125,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090761,-12.993751,-35.268753,-15.243751,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090781,-11.868751,-34.706253,-15.39375,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090801,-11.3625,-34.237503,-15.95625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090821,-10.837501,-33.956253,-16.0125,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090841,-10.725,-33.9375,-15.8625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090861,-10.481251,-33.99375,-16.10625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090881,-10.387501,-33.91875,-16.10625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090901,-9.75,-33.65625,-16.40625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090921,-9.1875,-33.5625,-16.6875,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090941,-9.31875,-33.675003,-16.7625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090961,-9.31875,-33.768753,-16.425001,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9090981,-10.03125,-33.825,-16.331251,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091001,-10.556251,-33.73125,-16.48125,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091021,-10.9875,-33.80625,-16.1625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091041,-11.2875,-34.0125,-15.900001,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091061,-11.6625,-34.21875,-15.843751,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091081,-12.618751,-34.256252,-15.431251,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091101,-12.525001,-34.0875,-15.525001,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091121,-12.3,-33.975002,-15.69375,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091141,-11.981251,-34.162502,-15.562501,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091161,-10.89375,-34.162502,-15.918751,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091181,-10.668751,-34.0875,-16.050001,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091201,-10.6125,-34.143753,-16.275002,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091221,-10.837501,-34.256252,-16.10625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091241,-9.58125,-34.350002,-16.275002,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091261,-9.075001,-34.706253,-16.29375,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091281,-8.8125,-35.025,-15.937501,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091301,-7.8,-35.362503,-15.58125,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091321,-6.9,-35.79375,-14.587501,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091341,-5.26875,-36.0,-14.062501,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091361,-3.4125001,-36.24375,-13.368751,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091381,-1.5375,-36.2625,-12.675,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091401,-0.3375,-36.375,-12.168751,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091421,0.90000004,-36.43125,-11.7375,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091441,2.2687502,-36.45,-11.887501,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091461,3.4875002,-36.206253,-12.13125,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091481,3.73125,-36.131252,-12.4875,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091501,3.6562502,-36.075,-12.76875,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091521,3.15,-35.925003,-12.95625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091541,2.86875,-35.90625,-13.425,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091561,2.8875,-35.8125,-14.00625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091581,3.2250001,-35.550003,-14.118751,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091601,3.4687502,-35.568752,-14.19375,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091621,3.5062501,-35.4375,-14.325001,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091641,3.7687502,-35.381252,-14.587501,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091661,4.0687504,-35.325,-14.75625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091681,5.0062504,-35.1375,-15.150001,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091701,5.83125,-34.93125,-15.187501,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091721,6.0375004,-34.818752,-15.39375,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091741,5.8500004,-34.85625,-15.8625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091761,5.53125,-34.7625,-16.125,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091781,5.2875004,-34.818752,-16.368752,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091801,5.1937504,-34.78125,-16.66875,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091821,4.9125004,-34.85625,-16.85625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091841,4.3875003,-35.1375,-17.15625,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091861,3.5812502,-35.11875,-17.71875,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091881,3.2062502,-35.193752,-18.0375,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091901,2.7562501,-35.0625,-18.16875,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091921,2.4562502,-35.04375,-18.525002,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091941,1.95,-34.78125,-19.03125,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091961,1.40625,-34.818752,-19.143751,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9091981,1.1437501,-34.7625,-19.48125,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
