start_ms,end_ms,type,description,signalClearRecording,exp_name
9090711,9128156,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9128156,9160761,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9160761,9177096,up,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9177096,9186126,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9186126,9196965,down,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9196965,9208543,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9208543,9219582,up,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9219582,9228970,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9228970,9240168,up,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9240168,9249238,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9249238,9261910,up,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9261910,9272056,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9272056,9284569,down,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9284569,9296466,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9296466,9312084,down,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9312084,9322030,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9322030,9334303,down,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9334303,9345602,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9345602,9368347,up,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9368347,9378452,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9378452,9391164,down,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9391164,9402901,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9402901,9418361,down,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9418361,9427350,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9427350,9440062,down,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
9440062,9551954,outside,,True,eyalyakir_milleniumHotel_SamsungSM-S911B_15-04-2026_exp3
