start_ms,end_ms,type,description,signalClearRecording,exp_name
103232970,103246415,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103246415,103279020,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103279020,103295355,up,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103295355,103304385,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103304385,103315224,down,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103315224,103326802,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103326802,103337841,up,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103337841,103347229,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103347229,103358427,up,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103358427,103367497,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103367497,103380169,up,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103380169,103390315,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103390315,103402828,down,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103402828,103414725,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103414725,103430343,down,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103430343,103440289,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103440289,103452562,down,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103452562,103463861,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103463861,103486606,up,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103486606,103496711,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103496711,103509423,down,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103509423,103521160,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103521160,103536620,down,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103536620,103545609,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103545609,103558321,down,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
103558321,103693764,outside,,True,eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp3
