start_ms,end_ms,type,duration_s,residual_ms,fine_xcorr_score,in_window_mae
1776250691633,1776250707968,up,16.34,-20,0.974,0.05
1776250716998,1776250727837,down,10.84,0,0.944,0.073
1776250739415,1776250750454,up,11.04,-20,1.02,0.041
1776250759842,1776250771040,up,11.2,-40,1.013,0.04
1776250780110,1776250792782,up,12.67,-20,1.001,0.04
1776250802928,1776250815441,down,12.51,0,0.982,0.05
1776250827338,1776250842956,down,15.62,-20,0.898,0.061
1776250852902,1776250865175,down,12.27,0,0.963,0.054
1776250876474,1776250899219,up,22.75,-20,0.923,0.056
1776250909324,1776250922036,down,12.71,0,0.993,0.041
1776250933773,1776250949233,down,15.46,-20,1.001,0.038
1776250958222,1776250970934,down,12.71,-20,0.802,0.185
