r2_peak_thresh,min_peak_abs_a,nms_radius_s,same_sign_min_gap_s,min_ride_s,max_ride_s,joint_r2_thresh,min_pair_abs_a,n_gt,n_pred,clean,missed,gt_merged,gt_split,fp,pred_merged,pred_split_part,f1_like,recall,precision,miss_rate,merge_rate,fp_rate,iou_f1@0.5,iou_precision@0.5,iou_recall@0.5,iou_mean@0.5,iou_tp@0.5,iou_fp@0.5,iou_fn@0.5
0.75,0.5,0.5,5.0,10.0,120.0,0.75,0.3,415,202,30,121,208,56,40,123,9,0.09724473257698542,0.07228915662650602,0.1485148514851485,0.29156626506024097,0.6089108910891089,0.19801980198019803,0.08103727714748785,0.12376237623762376,0.060240963855421686,0.6076161506423021,25,177,390
0.75,0.5,0.5,5.0,10.0,120.0,0.75,0.5,415,202,30,121,208,56,40,123,9,0.09724473257698542,0.07228915662650602,0.1485148514851485,0.29156626506024097,0.6089108910891089,0.19801980198019803,0.08103727714748785,0.12376237623762376,0.060240963855421686,0.6076161506423021,25,177,390
0.75,0.3,0.5,5.0,10.0,120.0,0.75,0.5,415,208,30,112,216,57,41,128,9,0.09630818619582665,0.07228915662650602,0.14423076923076922,0.26987951807228916,0.6153846153846154,0.1971153846153846,0.08025682182985555,0.1201923076923077,0.060240963855421686,0.6070371372354477,25,183,390
0.75,0.3,0.5,5.0,10.0,120.0,0.75,0.3,415,217,30,107,217,61,48,129,10,0.0949367088607595,0.07228915662650602,0.1382488479262673,0.25783132530120484,0.5944700460829493,0.22119815668202766,0.08227848101265824,0.11981566820276497,0.06265060240963856,0.6001661326519818,26,191,389
0.75,0.5,0.5,5.0,10.0,120.0,0.75,0.7,415,177,28,157,185,45,34,109,6,0.0945945945945946,0.06746987951807229,0.15819209039548024,0.3783132530120482,0.615819209039548,0.192090395480226,0.06418918918918919,0.10734463276836158,0.04578313253012048,0.6124251518480915,19,158,396
0.75,0.3,0.5,5.0,10.0,120.0,0.85,0.5,415,183,28,124,213,50,28,125,2,0.09364548494983277,0.06746987951807229,0.15300546448087432,0.2987951807228916,0.6830601092896175,0.15300546448087432,0.0802675585284281,0.13114754098360656,0.05783132530120482,0.6025132656307391,24,159,391
0.85,0.3,0.5,5.0,10.0,120.0,0.85,0.3,415,189,28,117,216,54,31,127,3,0.09271523178807947,0.06746987951807229,0.14814814814814814,0.2819277108433735,0.671957671957672,0.164021164021164,0.08609271523178808,0.13756613756613756,0.06265060240963856,0.6001661326519818,26,163,389
0.75,0.5,0.5,15.0,10.0,120.0,0.75,0.3,415,190,28,126,205,56,29,125,8,0.09256198347107437,0.06746987951807229,0.14736842105263157,0.3036144578313253,0.6578947368421053,0.15263157894736842,0.07603305785123966,0.12105263157894737,0.05542168674698795,0.6027000064717756,23,167,392
0.75,0.3,0.5,5.0,10.0,120.0,0.85,0.3,415,191,28,117,216,54,33,127,3,0.0924092409240924,0.06746987951807229,0.14659685863874344,0.2819277108433735,0.6649214659685864,0.17277486910994763,0.0858085808580858,0.13612565445026178,0.06265060240963856,0.6001661326519818,26,165,389
0.85,0.3,0.5,5.0,10.0,120.0,0.75,0.3,415,200,28,113,215,59,36,128,8,0.0910569105691057,0.06746987951807229,0.14,0.27228915662650605,0.64,0.18,0.0845528455284553,0.13,0.06265060240963856,0.6001661326519818,26,174,389
0.75,0.5,0.5,5.0,10.0,120.0,0.85,0.3,415,179,27,128,211,49,28,122,2,0.09090909090909091,0.06506024096385542,0.15083798882681565,0.30843373493975906,0.6815642458100558,0.1564245810055866,0.0808080808080808,0.1340782122905028,0.05783132530120482,0.6031164045962125,24,155,391
0.75,0.5,0.5,5.0,10.0,120.0,0.85,0.5,415,179,27,128,211,49,28,122,2,0.09090909090909091,0.06506024096385542,0.15083798882681565,0.30843373493975906,0.6815642458100558,0.1564245810055866,0.0808080808080808,0.1340782122905028,0.05783132530120482,0.6031164045962125,24,155,391
0.85,0.3,0.5,5.0,10.0,120.0,0.85,0.5,415,181,27,123,215,50,26,126,2,0.09060402684563758,0.06506024096385542,0.14917127071823205,0.2963855421686747,0.6961325966850829,0.143646408839779,0.08053691275167785,0.13259668508287292,0.05783132530120482,0.6025132656307391,24,157,391
0.75,0.5,0.5,15.0,10.0,120.0,0.75,0.5,415,190,27,127,205,56,30,125,8,0.08925619834710743,0.06506024096385542,0.14210526315789473,0.3060240963855422,0.6578947368421053,0.15789473684210525,0.07603305785123966,0.12105263157894737,0.05542168674698795,0.6027000064717756,23,167,392
0.85,0.5,0.5,15.0,10.0,120.0,0.75,0.3,415,178,26,128,208,53,22,125,5,0.08768971332209106,0.06265060240963856,0.14606741573033707,0.30843373493975906,0.702247191011236,0.12359550561797752,0.0775716694772344,0.12921348314606743,0.05542168674698795,0.6027000064717756,23,155,392
0.85,0.5,0.5,5.0,10.0,120.0,0.75,0.3,415,186,26,123,213,53,30,124,6,0.08652246256239601,0.06265060240963856,0.13978494623655913,0.2963855421686747,0.6666666666666666,0.16129032258064516,0.07986688851913477,0.12903225806451613,0.05783132530120482,0.6031164045962125,24,162,391
0.85,0.5,0.5,5.0,10.0,120.0,0.75,0.5,415,186,26,123,213,53,30,124,6,0.08652246256239601,0.06265060240963856,0.13978494623655913,0.2963855421686747,0.6666666666666666,0.16129032258064516,0.07986688851913477,0.12903225806451613,0.05783132530120482,0.6031164045962125,24,162,391
0.75,0.7,0.5,5.0,10.0,120.0,0.75,0.7,415,140,24,211,150,30,33,79,4,0.08648648648648649,0.05783132530120482,0.17142857142857143,0.5084337349397591,0.5642857142857143,0.2357142857142857,0.039639639639639644,0.07857142857142857,0.02650602409638554,0.6342226111283605,11,129,404
0.85,0.3,0.5,5.0,10.0,120.0,0.75,0.5,415,192,26,118,216,55,31,128,7,0.085667215815486,0.06265060240963856,0.13541666666666666,0.28433734939759037,0.6666666666666666,0.16145833333333334,0.07907742998352553,0.125,0.05783132530120482,0.6025132656307391,24,168,391
0.75,0.3,0.5,15.0,10.0,120.0,0.75,0.5,415,195,26,123,209,57,32,129,8,0.08524590163934426,0.06265060240963856,0.13333333333333333,0.2963855421686747,0.6615384615384615,0.1641025641025641,0.07540983606557378,0.11794871794871795,0.05542168674698795,0.6020706440730208,23,172,392
0.85,0.5,0.5,5.0,10.0,120.0,0.85,0.3,415,176,25,128,213,49,26,123,2,0.08460236886632826,0.060240963855421686,0.14204545454545456,0.30843373493975906,0.6988636363636364,0.14772727272727273,0.08121827411167512,0.13636363636363635,0.05783132530120482,0.6031164045962125,24,152,391
0.85,0.5,0.5,5.0,10.0,120.0,0.85,0.5,415,176,25,128,213,49,26,123,2,0.08460236886632826,0.060240963855421686,0.14204545454545456,0.30843373493975906,0.6988636363636364,0.14772727272727273,0.08121827411167512,0.13636363636363635,0.05783132530120482,0.6031164045962125,24,152,391
0.75,0.7,0.5,5.0,10.0,120.0,0.75,0.3,415,140,23,210,152,30,33,80,4,0.08288288288288288,0.05542168674698795,0.16428571428571428,0.5060240963855421,0.5714285714285714,0.2357142857142857,0.039639639639639644,0.07857142857142857,0.02650602409638554,0.6342226111283605,11,129,404
0.75,0.7,0.5,5.0,10.0,120.0,0.75,0.5,415,140,23,210,152,30,33,80,4,0.08288288288288288,0.05542168674698795,0.16428571428571428,0.5060240963855421,0.5714285714285714,0.2357142857142857,0.039639639639639644,0.07857142857142857,0.02650602409638554,0.6342226111283605,11,129,404
0.75,0.3,0.5,5.0,10.0,120.0,0.75,0.7,415,175,24,159,188,44,36,110,5,0.08135593220338982,0.05783132530120482,0.13714285714285715,0.38313253012048193,0.6285714285714286,0.2057142857142857,0.06440677966101695,0.10857142857142857,0.04578313253012048,0.6124251518480915,19,156,396
0.75,0.3,0.5,15.0,10.0,120.0,0.75,0.3,415,202,25,113,214,63,36,133,8,0.08103727714748785,0.060240963855421686,0.12376237623762376,0.27228915662650605,0.6584158415841584,0.1782178217821782,0.07779578606158832,0.1188118811881188,0.05783132530120482,0.5995507757854363,24,178,391
0.85,0.5,0.5,15.0,10.0,120.0,0.75,0.5,415,178,24,128,210,53,23,126,5,0.08094435075885328,0.05783132530120482,0.1348314606741573,0.30843373493975906,0.7078651685393258,0.12921348314606743,0.0775716694772344,0.12921348314606743,0.05542168674698795,0.6027000064717756,23,155,392
0.85,0.5,0.5,5.0,10.0,120.0,0.75,0.7,415,164,23,164,184,44,28,108,5,0.07944732297063903,0.05542168674698795,0.1402439024390244,0.39518072289156625,0.6585365853658537,0.17073170731707318,0.062176165803108814,0.10975609756097561,0.043373493975903614,0.6092965152673088,18,146,397
0.85,0.5,0.5,15.0,10.0,120.0,0.85,0.3,415,166,23,133,209,50,17,124,2,0.07917383820998279,0.05542168674698795,0.13855421686746988,0.3204819277108434,0.7469879518072289,0.10240963855421686,0.07917383820998279,0.13855421686746988,0.05542168674698795,0.6027000064717756,23,143,392
0.75,0.5,0.5,15.0,10.0,120.0,0.85,0.3,415,168,23,133,209,50,19,124,2,0.07890222984562607,0.05542168674698795,0.13690476190476192,0.3204819277108434,0.7380952380952381,0.1130952380952381,0.07890222984562607,0.13690476190476192,0.05542168674698795,0.6027000064717756,23,145,392
0.75,0.5,0.5,15.0,10.0,120.0,0.85,0.5,415,169,23,133,209,50,20,124,2,0.07876712328767123,0.05542168674698795,0.13609467455621302,0.3204819277108434,0.7337278106508875,0.11834319526627218,0.07876712328767123,0.13609467455621302,0.05542168674698795,0.6027000064717756,23,146,392
0.85,0.3,0.5,15.0,10.0,120.0,0.75,0.5,415,182,23,127,210,55,24,129,6,0.07705192629815745,0.05542168674698795,0.12637362637362637,0.3060240963855422,0.7087912087912088,0.13186813186813187,0.07705192629815745,0.12637362637362637,0.05542168674698795,0.6020706440730208,23,159,392
0.75,0.3,0.5,25.0,10.0,120.0,0.85,0.3,415,137,21,151,225,18,18,96,2,0.07608695652173914,0.05060240963855422,0.15328467153284672,0.363855421686747,0.7007299270072993,0.13138686131386862,0.06521739130434782,0.13138686131386862,0.043373493975903614,0.5938339172467926,18,119,397
0.85,0.3,0.5,25.0,10.0,120.0,0.85,0.3,415,137,21,151,225,18,18,96,2,0.07608695652173914,0.05060240963855422,0.15328467153284672,0.363855421686747,0.7007299270072993,0.13138686131386862,0.06521739130434782,0.13138686131386862,0.043373493975903614,0.5938339172467926,18,119,397
0.85,0.5,0.5,25.0,10.0,120.0,0.75,0.3,415,139,21,152,225,17,21,95,2,0.07581227436823104,0.05060240963855422,0.1510791366906475,0.36626506024096384,0.6834532374100719,0.1510791366906475,0.06498194945848375,0.12949640287769784,0.043373493975903614,0.595461952971815,18,121,397
0.85,0.5,0.5,15.0,10.0,120.0,0.85,0.5,415,167,22,132,211,50,18,125,2,0.07560137457044673,0.05301204819277108,0.1317365269461078,0.3180722891566265,0.7485029940119761,0.10778443113772455,0.07903780068728522,0.1377245508982036,0.05542168674698795,0.6027000064717756,23,144,392
0.75,0.3,0.5,15.0,10.0,120.0,0.85,0.5,415,170,22,134,208,51,20,126,2,0.07521367521367521,0.05301204819277108,0.12941176470588237,0.3228915662650602,0.7411764705882353,0.11764705882352941,0.07863247863247863,0.13529411764705881,0.05542168674698795,0.6020706440730208,23,147,392
0.85,0.3,0.5,25.0,10.0,120.0,0.75,0.3,415,150,21,138,236,20,25,101,3,0.0743362831858407,0.05060240963855422,0.14,0.3325301204819277,0.6733333333333333,0.16666666666666666,0.06725663716814159,0.12666666666666668,0.04578313253012048,0.5918649275522265,19,131,396
0.75,0.3,0.5,15.0,10.0,120.0,0.85,0.3,415,177,22,125,213,55,23,129,3,0.07432432432432433,0.05301204819277108,0.12429378531073447,0.30120481927710846,0.7288135593220338,0.12994350282485875,0.08108108108108109,0.13559322033898305,0.05783132530120482,0.5995507757854363,24,153,391
0.85,0.5,0.5,25.0,10.0,120.0,0.85,0.3,415,128,20,165,214,16,16,91,1,0.07366482504604052,0.04819277108433735,0.15625,0.39759036144578314,0.7109375,0.125,0.06261510128913444,0.1328125,0.04096385542168675,0.5977583553201549,17,111,398
0.75,0.5,0.5,25.0,10.0,120.0,0.85,0.3,415,129,20,163,216,16,16,92,1,0.07352941176470588,0.04819277108433735,0.15503875968992248,0.3927710843373494,0.7131782945736435,0.12403100775193798,0.06250000000000001,0.13178294573643412,0.04096385542168675,0.5977583553201549,17,112,398
0.75,0.3,0.5,25.0,10.0,120.0,0.75,0.3,415,158,21,133,240,21,31,102,4,0.07329842931937172,0.05060240963855422,0.13291139240506328,0.3204819277108434,0.6455696202531646,0.1962025316455696,0.0663176265270506,0.12025316455696203,0.04578313253012048,0.5918649275522265,19,139,396
0.85,0.3,0.5,15.0,10.0,120.0,0.75,0.3,415,187,22,119,215,59,27,132,6,0.07308970099667775,0.05301204819277108,0.11764705882352941,0.28674698795180725,0.7058823529411765,0.1443850267379679,0.079734219269103,0.12834224598930483,0.05783132530120482,0.5995507757854363,24,163,391
0.75,0.7,0.5,15.0,10.0,120.0,0.75,0.3,415,135,20,215,149,31,29,82,4,0.07272727272727272,0.04819277108433735,0.14814814814814814,0.5180722891566265,0.6074074074074074,0.21481481481481482,0.03636363636363637,0.07407407407407407,0.024096385542168676,0.6363755160953704,10,125,405
0.75,0.7,0.5,15.0,10.0,120.0,0.75,0.5,415,135,20,215,149,31,29,82,4,0.07272727272727272,0.04819277108433735,0.14814814814814814,0.5180722891566265,0.6074074074074074,0.21481481481481482,0.03636363636363637,0.07407407407407407,0.024096385542168676,0.6363755160953704,10,125,405
0.75,0.7,0.5,15.0,10.0,120.0,0.75,0.7,415,135,20,215,149,31,29,82,4,0.07272727272727272,0.04819277108433735,0.14814814814814814,0.5180722891566265,0.6074074074074074,0.21481481481481482,0.03636363636363637,0.07407407407407407,0.024096385542168676,0.6363755160953704,10,125,405
0.85,0.5,0.5,25.0,10.0,120.0,0.75,0.5,415,139,20,151,227,17,21,96,2,0.07220216606498195,0.04819277108433735,0.14388489208633093,0.363855421686747,0.6906474820143885,0.1510791366906475,0.06498194945848375,0.12949640287769784,0.043373493975903614,0.595461952971815,18,121,397
0.85,0.3,0.5,15.0,10.0,120.0,0.85,0.5,415,168,21,133,210,51,18,127,2,0.07204116638078903,0.05060240963855422,0.125,0.3204819277108434,0.7559523809523809,0.10714285714285714,0.07890222984562607,0.13690476190476192,0.05542168674698795,0.6020706440730208,23,145,392
0.85,0.3,0.5,25.0,10.0,120.0,0.75,0.5,415,141,20,149,229,17,22,97,2,0.07194244604316546,0.04819277108433735,0.14184397163120568,0.35903614457831323,0.6879432624113475,0.15602836879432624,0.0647482014388489,0.1276595744680851,0.043373493975903614,0.5946577676845172,18,123,397
0.75,0.5,0.5,25.0,10.0,120.0,0.75,0.3,415,144,20,151,226,18,25,96,3,0.07155635062611806,0.04819277108433735,0.1388888888888889,0.363855421686747,0.6666666666666666,0.1736111111111111,0.06440071556350625,0.125,0.043373493975903614,0.595461952971815,18,126,397
0.75,0.5,0.5,25.0,10.0,120.0,0.75,0.5,415,145,20,151,226,18,26,96,3,0.07142857142857142,0.04819277108433735,0.13793103448275862,0.363855421686747,0.6620689655172414,0.1793103448275862,0.06428571428571428,0.12413793103448276,0.043373493975903614,0.595461952971815,18,127,397
0.85,0.3,0.5,15.0,10.0,120.0,0.85,0.3,415,175,21,124,215,55,21,130,3,0.0711864406779661,0.05060240963855422,0.12,0.2987951807228916,0.7428571428571429,0.12,0.08135593220338984,0.13714285714285715,0.05783132530120482,0.5995507757854363,24,151,391
0.75,0.3,0.5,25.0,10.0,120.0,0.75,0.5,415,147,20,149,228,18,27,97,3,0.0711743772241993,0.04819277108433735,0.1360544217687075,0.35903614457831323,0.6598639455782312,0.1836734693877551,0.06405693950177936,0.12244897959183673,0.043373493975903614,0.5946577676845172,18,129,397
0.75,0.5,0.5,5.0,10.0,120.0,0.85,0.7,415,150,20,177,178,40,25,104,1,0.07079646017699115,0.04819277108433735,0.13333333333333333,0.42650602409638555,0.6933333333333334,0.16666666666666666,0.060176991150442484,0.11333333333333333,0.04096385542168675,0.6151871223188998,17,133,398
0.75,0.7,0.5,5.0,10.0,120.0,0.85,0.7,415,123,19,220,149,27,25,78,1,0.07063197026022305,0.04578313253012048,0.15447154471544716,0.5301204819277109,0.6341463414634146,0.2032520325203252,0.040892193308550186,0.08943089430894309,0.02650602409638554,0.6342226111283605,11,112,404
0.75,0.5,0.5,25.0,10.0,120.0,0.85,0.5,415,128,19,164,216,16,16,92,1,0.06998158379373849,0.04578313253012048,0.1484375,0.39518072289156625,0.71875,0.125,0.06261510128913444,0.1328125,0.04096385542168675,0.5977583553201549,17,111,398
0.85,0.5,0.5,25.0,10.0,120.0,0.85,0.5,415,128,19,164,216,16,16,92,1,0.06998158379373849,0.04578313253012048,0.1484375,0.39518072289156625,0.71875,0.125,0.06261510128913444,0.1328125,0.04096385542168675,0.5977583553201549,17,111,398
0.75,0.3,0.5,25.0,10.0,120.0,0.85,0.5,415,129,19,161,219,16,16,93,1,0.06985294117647059,0.04578313253012048,0.14728682170542637,0.38795180722891565,0.7209302325581395,0.12403100775193798,0.06250000000000001,0.13178294573643412,0.04096385542168675,0.5969068650159572,17,112,398
0.85,0.3,0.5,25.0,10.0,120.0,0.85,0.5,415,129,19,161,219,16,16,93,1,0.06985294117647059,0.04578313253012048,0.14728682170542637,0.38795180722891565,0.7209302325581395,0.12403100775193798,0.06250000000000001,0.13178294573643412,0.04096385542168675,0.5969068650159572,17,112,398
0.85,0.7,0.5,5.0,10.0,120.0,0.75,0.7,415,130,19,216,149,31,27,79,5,0.06972477064220184,0.04578313253012048,0.14615384615384616,0.5204819277108433,0.6076923076923076,0.2076923076923077,0.040366972477064215,0.08461538461538462,0.02650602409638554,0.6342226111283605,11,119,404
