exp,gt_idx,status,type,t_start_s,t_end_s,pred_idxs,pos_r2,pos_A,neg_r2,neg_A,pair_joint_r2,pair_A_abs,pair_heatmap_energy,pair_gap_s,pair_W,pair_frac_flat,pair_reject_flags
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,0,missed,up,20.207,33.791,,0.9550346541527658,1.6951493395947204,0.9594376647286116,-0.7295927689719148,,,,,,,
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,1,missed,up,42.863,56.575,,0.9747959433687595,0.40146708129217407,0.9446101994957697,-0.42639998630806775,0.9544540235639813,0.37846888513264093,0.7432717563271134,5.942,1.475862068965517,0.05,pair |A|=0.38 < 0.40
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,2,gt_merged,up,65.583,79.743,2,0.9807128000935654,0.4103554400274519,0.9824764178733615,-0.33851221296982764,0.9748313506695101,0.37973091746400367,0.7367108063291748,6.340999999999994,1.386206896551724,0.05,pair |A|=0.38 < 0.40
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,3,gt_merged,down,89.519,100.351,2,0.9530408878351484,0.3938976960821859,0.9835645740102769,-0.4808777499784353,0.9562066203557649,0.4423829810308664,0.7675752815963292,3.461999999999989,1.5655172413793101,0.05,
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,4,missed,down,109.679,123.839,,0.9839737814727942,0.35752361508177066,0.9806315315371654,-0.395556956759126,0.9797774876996872,0.3765402859204483,0.746865173168005,6.161999999999992,1.475862068965517,0.05,pair |A|=0.38 < 0.40
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,5,missed,down,132.911,146.815,,0.9926230546832474,0.32667886380762734,0.9731365660228178,-0.41229569828177204,0.9769355226358518,0.3596996900913523,0.7424335020443722,6.099999999999994,1.386206896551724,0.15714285714285714,pair |A|=0.36 < 0.40
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,6,clean,down,156.271,166.783,3,0.9648773649122752,0.40526633290714686,0.9650330972368871,-0.4989246759570842,0.9574295240871684,0.4503597371118332,0.7504465145168433,3.319999999999993,1.475862068965517,0.05,
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,7,missed,up,238.127,264.319,,0.9802228227048759,0.4169604189741972,0.9687076011826641,-0.3452136587662165,0.9670065624424784,0.3697322161064395,0.7359480904747602,18.251000000000005,1.5655172413793101,0.10357142857142856,pair |A|=0.37 < 0.40
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,8,clean,down,275.567,286.527,4,0.9637628473456227,0.40260582356268065,0.9857666890444122,-0.4884096123646716,0.9709104129408832,0.42757062818530517,0.7632070162962882,3.4420000000000073,1.475862068965517,0.10357142857142856,
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,clean,down,296.879,307.967,5,0.9739817371358644,0.4036862661630861,0.9797398602279254,-0.4898755691167082,0.9717405087643252,0.4421365779811996,0.7784489200805135,3.460999999999956,1.5655172413793101,0.05,
