exp,gt_idx,status,type,t_start_s,t_end_s,pred_idxs,pos_r2,pos_A,neg_r2,neg_A,pair_joint_r2,pair_A_abs,pair_heatmap_energy,pair_gap_s,pair_W,pair_frac_flat,pair_reject_flags
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,0,clean,up,582.645,606.107,0,0.6480343224291191,0.6882368395560368,0.6387869938133077,-1.0324896194336668,0.6142671081725825,0.8603632294948518,0.037353325818924456,0.5570000000000164,0.4,0.0,joint R²=0.61 < 0.90;heatmap energy=0.037 < 0.400
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,1,clean,down,632.02,649.27,1,0.9543043712789784,0.36811699501959977,0.5671446782101617,-0.8113271933768142,,,,,,,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,2,clean,down,672.116,683.074,2,0.9976340395170156,0.5610133050909331,0.9492660511170622,-0.57064770990287,0.9607985199598105,0.5393131715552358,0.6301828695080931,2.4389999999999645,0.8482758620689655,0.8,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,3,clean,up,706.877,724.406,3,0.8914865881109336,0.4408546317818036,0.95395670908622,-0.3974994591182459,,,,,,,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,4,clean,up,756.651,772.507,4,0.9056427863126072,0.6510203052210791,0.9499297636001393,-0.39329631535870785,,,,,,,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,5,clean,down,815.224,834.546,5,0.9553702211973041,0.35926289510869314,0.9526166349395737,-0.34541584005205767,0.9536246573940681,0.3523393675803754,0.700193253847495,9.77800000000002,0.8482758620689655,0.8,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,6,clean,down,904.019,917.288,6,0.9513257111136567,0.7413824999691359,0.9561613135836634,-0.7139152356644002,0.9534033671108506,0.7276488678167681,0.7630504967690029,2.9769999999999754,0.5793103448275863,0.8,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,7,clean,down,942.921,956.269,7,0.9497232370793751,0.7228865061694633,0.9547355121959922,-0.7031187276591931,0.9520462709352877,0.7130026169143282,0.7619092173112729,2.95799999999997,0.5793103448275863,0.8,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,8,clean,up,986.442,1011.658,8,0.709396612525431,0.6568422649059239,0.9476109022218276,-0.5943746215874118,,,,,,,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,9,clean,down,1095.824,1121.278,9,0.9521656164781941,0.3727037694166982,0.9362744032153592,-0.6246873369883752,,,,,,,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,10,clean,up,1148.068,1169.54,10,0.8719275614503279,0.3891010836233589,0.9547049580882403,-0.3632232831804537,,,,,,,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,11,clean,down,1197.764,1218.558,11,0.9537702116219198,0.3535340740269967,0.24691170127181883,-0.3810470406760217,,,,,,,
eyalyakir_acroBuilding_Xiaomi22101320I_15-04-2026_exp4,0,clean,up,584.71,608.172,0,0.6142500260403364,2.2915742078243944,0.6874437671421796,-1.3065820739994638,,,,,,,
