exp,gt_idx,status,type,t_start_s,t_end_s,pred_idxs,pos_r2,pos_A,neg_r2,neg_A,pair_joint_r2,pair_A_abs,pair_heatmap_energy,pair_gap_s,pair_W,pair_frac_flat,pair_reject_flags
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,0,clean,up,582.645,606.107,0,0.4605462491773247,0.7066555265868263,0.907750572148883,-1.3025687437905151,0.6194609575737235,1.0046121351886708,0.03902610833176638,0.40399999999999636,0.3,0.0,joint R²=0.62 < 0.90;heatmap energy=0.039 < 0.400
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,1,clean,down,632.02,649.27,1,0.9528360774561739,0.3778566458137364,0.6685951479747531,-0.7082925863040529,,,,,,,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,2,clean,down,672.116,683.074,2,0.9511748637681732,0.5786771030699599,0.9508091135268174,-0.5874491261443523,0.9509381665968436,0.5830631146071562,0.6388467705053243,2.631999999999948,0.3931034482758621,0.8,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,3,clean,up,706.877,724.406,3,0.9840725608561682,0.48089636907106265,0.9524892292999866,-0.406981901046373,,,,,,,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,4,clean,up,756.651,772.507,4,0.797739012600374,0.6974413356018241,0.9571499571976054,-0.40270729649602527,,,,,,,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,5,clean,down,815.224,834.546,5,0.9507925310579559,0.36918634125178185,0.9542816110750574,-0.3400332649117676,0.9493368088976922,0.34101169209454063,0.6809367743202959,9.700000000000045,0.9517241379310346,0.8,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,6,clean,down,904.019,917.288,6,0.953617779674028,0.7541729397635879,0.9542125671613507,-0.7293643001031832,0.9536481879365498,0.7417686199333856,0.7391477955743798,2.784999999999968,0.3931034482758621,0.8,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,7,clean,down,942.921,956.269,7,0.9505494139859735,0.744544187328885,0.9546238254293041,-0.7170124816623598,0.9522482147490945,0.7307783344956224,0.7524106556140803,2.881999999999948,0.3931034482758621,0.8,
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,8,clean,up,986.442,1011.658,8,0.9241661732294094,0.7602505705546803,0.44708079209258844,-0.6932686721303204,0.682301638226448,0.7448492636094021,0.03871987896906827,0.4410000000000309,0.3,0.0,joint R²=0.68 < 0.90;heatmap energy=0.039 < 0.400
eyalyakir_acroBuilding_SamsungSM-S911B_15-04-2026_exp4,9,clean,down,1095.824,1121.278,9,0.9411851458243278,0.3859506908256348,0.9386317315628998,-0.6270410564551502,,,,,,,
