time_s,ax_ms2,ay_ms2,az_ms2
0.0,-1.0588241,3.385844,10.77488
0.019,-0.94636136,3.6849468,10.04148
0.038,-0.9320044,3.8727834,8.967103
0.057,-0.7848458,4.045067,8.085348
0.077,-0.62452674,4.2795634,7.853244
0.096,-0.6089734,4.3537407,8.210971
0.115,-0.52283174,4.174279,9.026923
0.134,-0.39840496,4.219743,9.5760765
0.154,-0.24646074,4.3944187,9.365508
0.173,-0.30388847,4.496114,8.809176
0.192,-0.52283174,4.493721,8.462217
0.211,-0.45224348,4.5882373,8.834301
0.23,-0.14596218,4.633701,9.723235
0.25,0.049052864,4.442275,10.600204
0.269,-0.18664017,4.2520456,10.161121
0.288,-0.71665037,4.197011,9.305687
0.307,-0.991825,4.194618,8.568698
0.326,-0.6903293,4.3537407,8.35454
0.346,0.11724831,4.432704,9.322437
0.365,0.43070808,4.0151563,10.642078
0.384,0.03589234,3.4301112,10.771291
0.403,-0.28594232,3.2961133,10.177871
0.422,-0.35174492,3.2673993,9.470792
0.442,-0.30149564,3.196811,9.369097
0.461,0.21894327,3.3020952,10.094122
0.48,0.8865408,3.31047,10.924432
0.499,1.4404793,3.505485,11.304891
0.518,2.2181466,4.2652063,11.25823
0.538,2.9072795,5.3276196,9.529416
0.557,1.4703895,4.8239303,8.976674
0.576,0.67477596,3.7890346,7.938189
0.595,0.49052864,3.4217365,5.7894344
0.614,-0.47976094,3.9314077,4.8454657
0.634,-0.61854464,4.8239303,5.8935223
0.653,-0.01794617,3.7423747,6.910472
0.672,-0.28235307,4.820341,6.471389
0.691,-2.9108686,2.9012976,6.5479593
0.711,-3.097509,4.191029,4.741378
0.73,-0.19740787,5.1122656,5.0452666
0.749,0.33499518,5.0081778,5.4987063
0.768,-0.2739782,4.910072,7.515856
0.787,-0.39361933,4.7007003,8.280363
0.807,-0.3804588,4.3274198,8.281559
0.826,0.16749759,4.2388854,7.8484583
0.845,0.11006984,3.9984066,7.728817
0.864,-1.0169497,4.57747,7.1688967
0.883,-1.308874,5.206782,7.704889
0.903,-1.1389836,5.0213385,8.37129
0.922,-1.5529419,2.9970105,7.881958
0.941,-1.942972,4.9663033,7.850851
0.96,-1.6570296,6.2057858,8.394022
0.979,-0.8757731,5.5334024,9.390633
0.999,-1.125823,4.5798626,9.97807
1.018,-1.032503,4.9567323,9.260223
1.037,-1.1976078,4.60738,9.466006
1.056,-2.0350957,3.8668015,9.282955
1.075,-1.9094725,4.4925246,8.807981
1.095,-0.48215377,5.962914,9.798609
1.114,1.524228,7.1629148,11.219945
1.133,1.4620147,5.9653068,11.069198
1.152,0.40677986,4.7653065,11.307283
1.172,-0.07298109,4.0438704,11.392229
1.191,0.13519448,3.522235,12.354143
1.21,0.7609176,3.5676985,12.263216
1.229,1.1162517,3.8943188,10.662417
1.248,0.6149554,3.8261235,9.491131
1.268,0.11724831,3.3918262,8.023134
1.287,-0.4989035,3.1728828,7.3698936
1.306,-0.62811595,2.865405,6.9391856
1.325,-0.29312077,2.9970105,7.6749787
1.344,0.5946164,2.9778678,9.010174
1.364,1.6235301,3.101098,10.024731
1.383,1.3878372,3.0400813,10.5487585
1.402,0.59940207,2.477768,10.04148
1.421,0.12083755,2.4335005,8.446664
1.44,-0.11006984,2.5411777,7.795816
1.46,0.08973085,2.885744,7.8759756
1.479,0.49651068,3.4073794,7.5290165
1.498,0.613759,3.674179,7.300502
1.517,0.5623133,3.6681972,7.475178
1.536,0.4331009,3.662215,7.836494
1.556,0.4354937,3.6753755,8.304291
1.575,0.4642076,3.8775692,9.000603
1.594,0.6125626,4.321438,8.512466
1.613,0.97507524,4.9986067,7.576873
1.632,1.1030912,5.343173,7.661818
1.652,0.7800602,5.0416775,8.187042
1.671,0.44626144,4.610969,8.362915
1.69,0.74416786,4.9136615,8.103293
1.709,1.2526426,5.276174,8.321041
1.729,1.68694,5.3312087,8.87139
1.748,1.9441684,5.111069,9.690931
1.767,1.7563318,4.7138605,10.839486
1.786,1.3818551,4.432704,10.527224
1.805,1.0420742,4.35733,9.461221
1.825,0.7728817,4.208975,9.050852
1.844,0.8709874,3.9625144,9.665807
1.863,1.0013963,3.2961133,11.347961
1.882,1.3986049,3.0759735,12.008381
1.901,1.7850457,3.3427732,10.742578
1.921,1.5302101,3.5509489,8.864211
1.94,1.2729816,3.6000016,7.5673018
1.959,1.422533,3.7136607,7.2323065
1.978,1.6905292,3.7830527,7.6343007
1.997,1.747957,3.790231,7.735996
2.017,1.963311,3.8273199,7.9334035
2.036,1.7874385,3.5581272,8.535198
2.055,1.457229,3.117848,9.263813
2.074,1.1557333,3.0867412,9.251849
2.093,1.2179468,3.505485,8.486146
2.113,1.2861422,3.7974095,7.7874413
2.132,1.2801601,3.6323047,7.6630144
2.151,1.2311072,3.6634114,7.597212
2.17,1.0600204,3.615555,7.536195
2.189,1.079163,3.7244284,7.665407
2.209,1.4249259,4.072584,7.7611203
2.228,1.5732809,4.2652063,7.9022965
2.247,1.3112668,4.240082,7.9633136
2.266,0.81954175,4.130012,7.9429746
2.286,0.95832545,4.4039903,7.9357963
2.305,1.3387842,4.770092,8.396415
2.324,1.5158532,4.8394837,9.093923
2.343,1.7419748,5.0081778,9.176475
2.362,1.7838492,5.143372,9.047262
2.382,1.1018949,5.1493545,8.641679
2.401,0.60777694,5.308477,8.176275
2.42,1.0157533,5.8301125,9.377472
2.439,1.3890336,5.215157,12.313465
2.458,1.4057833,4.2125645,14.129618
2.478,1.1246266,3.6993039,13.530215
2.497,0.69272214,3.6957145,11.513066
2.516,0.1902294,3.4887354,10.442278
2.535,-0.18664017,3.0185459,10.578669
2.554,-0.4881358,2.5986054,10.378868
2.574,-0.53359944,2.6919255,8.803194
2.593,-0.47856453,3.022135,7.243074
2.612,-0.32303107,3.394219,6.2524457
2.631,-0.25962126,3.2853456,6.6592255
2.65,-0.39960137,2.8378878,7.704889
2.67,-0.32662028,2.92044,8.143971
2.689,0.18903299,3.1944182,8.088937
2.708,0.46301118,2.8666015,9.343972
2.727,0.7585248,2.4861426,11.365908
2.747,0.6269195,3.406183,11.315659
2.766,-0.20578274,3.9457645,9.349955
2.785,0.20817557,4.5834517,6.826723
2.804,0.84107715,5.2570314,6.0825553
2.823,0.096909314,4.4147577,6.674779
