time_s,ax_ms2,ay_ms2,az_ms2
0.0,0.010100539,0.1384896,9.792958
0.01,-0.08185177,0.081103586,9.937658
0.02,-0.016011223,0.11798925,9.695095
0.03,-0.019677345,0.12764087,9.759514
0.04,-0.06756138,0.10497078,9.90773
0.05,0.011222821,0.1766472,9.74859
0.06,0.051624972,0.20994157,9.710209
0.07,0.0025438394,0.20642507,9.877429
0.08,0.019303251,0.24809915,9.784055
0.09,0.03374328,0.24443303,9.698088
0.1,-0.012943653,0.20754737,9.869049
0.11,0.0026934769,0.19437926,9.792659
0.12,0.023044191,0.16931495,9.729512
0.131,-0.016385319,0.13227965,9.826403
0.141,-0.0175076,0.122852474,9.857452
0.151,-0.040028058,0.1297358,9.709311
0.161,-0.05566519,0.11791443,9.809718
0.171,-0.029478608,0.14903906,9.854983
0.181,-0.000748188,0.17522563,9.737817
0.191,0.028954877,0.18614918,9.797523
0.201,0.025363574,0.19684827,9.784354
0.211,0.050427873,0.2220622,9.797373
0.221,0.008604162,0.22310968,9.814057
0.231,-0.017582418,0.21585225,9.778219
0.241,-0.0056114104,0.20395605,9.781885
0.251,-0.0163105,0.16572365,9.798794
0.261,0.0015711949,0.13714287,9.816826
0.271,0.0052373162,0.11806407,9.771485
0.281,-0.0019452889,0.122777656,9.789442
0.291,-0.022296004,0.12517186,9.833585
0.301,-0.038980596,0.16325463,9.75697
0.311,-0.037858315,0.18353052,9.789143
0.321,-0.015113398,0.1933318,9.807024
0.331,0.0362123,0.20418051,9.791462
0.341,0.057685297,0.20186113,9.786748
0.351,0.037409402,0.19587563,9.78196
0.361,0.020724809,0.19819501,9.7950535
0.371,-0.01503858,0.19924247,9.761609
0.381,-0.040102877,0.18008886,9.802311
0.391,-0.04369418,0.16340427,9.785626
0.401,-0.019752163,0.14073417,9.778593
0.411,-0.002992752,0.12412439,9.793034
0.421,0.018480245,0.11941081,9.77156
0.431,0.006509236,0.14320318,9.743952
0.441,0.0027682958,0.18510172,9.877579
0.451,-0.0163105,0.21241058,9.7759
0.461,-0.029403789,0.22662616,9.779416
0.471,-0.021098902,0.21353287,9.77949
0.481,0.0087538,0.18966566,9.773581
0.491,0.05050269,0.1683423,9.801188
0.502,0.024316112,0.14784196,9.72839
0.512,0.012345103,0.15390228,9.816751
0.522,-0.032995094,0.15135844,9.776124
0.532,-0.060453594,0.16198272,9.771261
0.542,-0.0461632,0.17163433,9.821389
0.552,-0.010324995,0.14664486,9.764228
0.562,0.030151978,0.15509938,9.798794
0.572,0.042197805,0.16220717,9.728314
0.582,0.050353054,0.18151042,9.901445
0.592,-0.03060089,0.20358196,9.650429
0.602,-0.03314473,0.2359785,9.735124
0.612,-0.002244564,0.21832126,9.868975
0.622,-0.017582418,0.19901802,9.7711115
0.632,0.01937807,0.18128596,9.784354
0.642,0.018405426,0.14657004,9.67699
