time_s,ax_ms2,ay_ms2,az_ms2
0.0,-0.11911154,0.15263036,9.76939
0.01,-0.12030864,0.16460137,9.786075
0.02,-0.110731825,0.16101007,9.776498
0.03,-0.11432313,0.16579847,9.780089
0.04,-0.13100773,0.15023616,9.771785
0.05,-0.110806644,0.17896658,9.766847
0.06,-0.109534726,0.16699557,9.76333
0.07,-0.12988544,0.15008652,9.766996
0.08,-0.122777656,0.15487492,9.7657995
0.09,-0.11918636,0.16804303,9.774104
0.1,-0.122777656,0.17163433,9.780015
0.11,-0.11088146,0.15854104,9.776498
0.12,-0.11559505,0.14417583,9.76939
0.13,-0.12517186,0.17283143,9.770438
0.14,-0.11320085,0.14178163,9.7741785
0.15,-0.11918636,0.15966332,9.772907
0.16,-0.12996025,0.16796821,9.765724
0.17,-0.11679215,0.14657004,9.768193
0.18,-0.11439795,0.15375264,9.771785
0.19,-0.11207857,0.17163433,9.770438
0.2,-0.12868834,0.15016134,9.775376
0.211,-0.109609544,0.15861586,9.776498
0.221,-0.11200375,0.17051205,9.770513
0.231,-0.12270284,0.15734394,9.774104
0.241,-0.11320085,0.16572365,9.769316
0.251,-0.106018245,0.15861586,9.772907
0.261,-0.121580556,0.16452655,9.776498
0.271,-0.12038346,0.16213235,9.7788925
0.281,-0.11679215,0.16452655,9.774104
0.291,-0.12389994,0.13946225,9.775376
0.301,-0.122777656,0.17283143,9.769316
0.311,-0.104821146,0.17051205,9.759739
0.321,-0.13220483,0.12988544,9.764677
0.331,-0.120458275,0.17881694,9.772832
0.341,-0.106093064,0.16684593,9.76333
0.351,-0.12389994,0.13819033,9.766996
0.361,-0.11207857,0.16452655,9.782484
0.371,-0.11686697,0.17402853,9.7680435
0.381,-0.122777656,0.15487492,9.766921
0.391,-0.11918636,0.15726912,9.772907
0.401,-0.11918636,0.16205753,9.782484
0.411,-0.11207857,0.16332945,9.781286
0.421,-0.11200375,0.15973814,9.766921
0.431,-0.121655375,0.17043723,9.782409
0.441,-0.12517186,0.16804303,9.772907
0.451,-0.11439795,0.15255554,9.774104
0.461,-0.11559505,0.15016134,9.782484
0.471,-0.120458275,0.17163433,9.780015
0.481,-0.11679215,0.15135844,9.780089
0.491,-0.12517186,0.15487492,9.772907
0.501,-0.103698865,0.16093525,9.771709
0.511,-0.12756605,0.15966332,9.772907
0.521,-0.123974755,0.15016134,9.783681
0.531,-0.11798925,0.15846622,9.770513
0.541,-0.122777656,0.16205753,9.776498
0.551,-0.12636895,0.15846622,9.764527
0.562,-0.12038346,0.16325463,9.776498
0.572,-0.12621932,0.16340427,9.769316
0.582,-0.11783961,0.15031098,9.761011
0.592,-0.11664251,0.15390228,9.768193
0.602,-0.12741642,0.16819267,9.766921
0.612,-0.09876082,0.17185879,9.769316
0.622,-0.12621932,0.17058687,9.753754
0.632,-0.12741642,0.15390228,9.770588
0.642,-0.1249474,0.14552256,9.756297
0.652,-0.10945991,0.1766472,9.769316
0.662,-0.14163199,0.15270518,9.766996
0.672,-0.1285387,0.1491887,9.768193
0.682,-0.11424831,0.17305589,9.76333
0.692,-0.1237503,0.15509938,9.728764
0.702,-0.1213561,0.1337012,9.795801
0.712,-0.10945991,0.1731307,9.774104
0.722,-0.11776479,0.1479916,9.772982
0.732,-0.109534726,0.15981296,9.772907
0.742,-0.12270284,0.18008886,9.762058
0.752,-0.12382512,0.15502456,9.747843
0.762,-0.11312603,0.16340427,9.766921
0.772,-0.12749124,0.18368016,9.782409
0.782,-0.13220483,0.13347675,9.759889
0.792,-0.11552023,0.16819267,9.764527
0.802,-0.107215345,0.18487726,9.770438
0.812,-0.12621932,0.14664486,9.764602
0.822,-0.108412445,0.18607436,9.763255
0.832,-0.11903672,0.15023616,9.751509
0.842,-0.12861352,0.13355157,9.76348
0.852,-0.11312603,0.17417817,9.762133
