time_s,ax_ms2,ay_ms2,az_ms2
0.0,-0.069391854,0.15194423,9.917053
0.019,-0.06580263,0.17706887,9.9015
0.038,-0.09810573,0.1591227,9.565309
0.057,-0.076570325,0.13280165,9.907482
0.076,-0.11365908,0.12083755,9.905089
0.095,-0.13519448,0.12801601,9.590433
0.113,-0.09930214,0.111266255,9.881161
0.132,-0.083748795,0.13519448,9.942178
0.151,-0.111266255,0.15314065,9.6071825
0.17,-0.08255238,0.16749759,9.836894
0.189,-0.051445685,0.1698904,9.942178
0.208,-0.101694964,0.14596218,9.610772
0.226,-0.083748795,0.13519448,9.833304
0.245,-0.12203395,0.13280165,9.950553
0.264,-0.11724831,0.11724831,9.643075
0.283,-0.11006984,0.11964113,9.79143
0.302,-0.08255238,0.16271193,9.967302
0.321,-0.09212367,0.15553348,9.6275215
0.339,-0.06580263,0.16271193,9.798609
0.358,-0.078963146,0.16749759,9.958928
0.377,-0.11006984,0.15672988,9.676575
0.396,-0.12921242,0.12921242,9.762716
0.415,-0.09451649,0.12203395,9.962517
0.434,-0.11724831,0.11006984,9.706485
0.452,-0.111266255,0.13758731,9.753145
0.471,-0.083748795,0.14955142,9.960124
0.49,-0.09810573,0.16390835,9.7196455
0.509,-0.06699903,0.16031912,9.741181
0.528,-0.08015956,0.15314065,9.932607
0.547,-0.09930214,0.14596218,9.749556
0.565,-0.1160519,0.106480606,9.7196455
0.584,-0.11724831,0.1268196,9.949356
0.603,-0.12323037,0.13998012,9.759128
0.622,-0.1052842,0.14237295,9.71486
0.641,-0.08015956,0.14596218,9.931411
0.66,-0.08255238,0.15553348,9.784252
0.678,-0.08733802,0.1591227,9.696914
0.697,-0.08973085,0.1471586,9.924232
0.716,-0.11246266,0.13280165,9.792626
0.735,-0.101694964,0.11844472,9.696914
0.754,-0.11724831,0.11485548,9.913465
0.773,-0.111266255,0.13519448,9.817751
0.791,-0.09451649,0.1363909,9.698111
0.81,-0.09212367,0.16151553,9.908679
0.829,-0.08135597,0.18185452,9.821341
0.848,-0.09451649,0.14356937,9.693324
0.867,-0.08733802,0.13998012,9.911072
0.886,-0.10887343,0.124426775,9.828519
0.904,-0.124426775,0.13040884,9.717253
0.923,-0.11724831,0.11964113,9.882358
0.942,-0.1052842,0.1471586,9.8524475
0.961,-0.09212367,0.15314065,9.689735
0.98,-0.0849452,0.16390835,9.87159
0.999,-0.07776674,0.17108682,9.858429
1.018,-0.09332009,0.1471586,9.707682
1.036,-0.10767702,0.14356937,9.866804
1.055,-0.111266255,0.1268196,9.859626
1.074,-0.124426775,0.1268196,9.712467
1.093,-0.11365908,0.11844472,9.845269
1.112,-0.09092726,0.13040884,9.851251
1.131,-0.08853444,0.148355,9.71127
1.149,-0.08255238,0.16031912,9.8321085
1.168,-0.0849452,0.14117654,9.851251
1.187,-0.101694964,0.14237295,9.71845
1.206,-0.101694964,0.13280165,9.820144
1.225,-0.1052842,0.12203395,9.87159
1.244,-0.106480606,0.12562318,9.738789
1.262,-0.09930214,0.14117654,9.799805
1.281,-0.09571291,0.1268196,9.866804
1.3,-0.086141616,0.16630118,9.76152
1.319,-0.07058827,0.15194423,9.79143
1.338,-0.076570325,0.15074782,9.881161
1.357,-0.10767702,0.106480606,9.757931
1.375,-0.07298109,0.19740787,9.8727865
1.394,-0.18065812,0.111266255,9.810573
1.413,-0.051445685,0.1160519,9.809377
1.432,-0.12203395,0.11006984,9.79143
1.451,-0.10289137,0.1794617,9.949356
1.47,-0.083748795,0.17706887,9.677772
1.488,-0.03708875,0.15314065,9.806984
1.507,-0.05623133,0.12083755,9.846465
1.526,-0.09930214,0.14476576,9.77827
1.545,-0.12083755,0.13040884,9.789038
1.564,-0.07776674,0.11365908,9.896714
1.583,-0.06819545,0.111266255,9.798609
1.601,-0.12203395,0.15553348,9.777073
1.62,-0.09092726,0.1591227,9.8835535
1.639,-0.049052864,0.14117654,9.784252
1.658,-0.043070808,0.14237295,9.803394
1.677,-0.111266255,0.16031912,9.865608
1.696,-0.124426775,0.14117654,9.822537
1.714,-0.086141616,0.08255238,9.757931
1.733,-0.09571291,0.09571291,9.878768
1.752,-0.13998012,0.148355,9.803394
1.771,-0.11246266,0.148355,9.767502
1.79,-0.05503492,0.1363909,9.834501
1.809,-0.058624156,0.15074782,9.805787
1.827,-0.12083755,0.17706887,9.737592
1.846,-0.111266255,0.16031912,9.82493
1.865,-0.09092726,0.11246266,9.810573
1.884,-0.09451649,0.10887343,9.750752
1.903,-0.124426775,0.1471586,9.8524475
1.922,-0.11365908,0.15433706,9.846465
1.94,-0.05623133,0.11844472,9.771091
1.959,-0.07178468,0.16031912,9.8321085
1.978,-0.10289137,0.1902294,9.83809
1.997,-0.083748795,0.15433706,9.751948
2.016,-0.08135597,0.1268196,9.85484
2.035,-0.09092726,0.11365908,9.835697
2.053,-0.13878371,0.13519448,9.768699
2.072,-0.12921242,0.1471586,9.8428755
2.091,-0.08135597,0.10289137,9.828519
2.11,-0.09092726,0.14955142,9.765109
2.129,-0.11246266,0.1794617,9.823733
2.148,-0.07178468,0.16510476,9.82493
2.167,-0.069391854,0.12083755,9.775877
2.185,-0.11844472,0.13878371,9.814162
2.204,-0.13280165,0.14356937,9.828519
2.223,-0.11365908,0.13519448,9.781859
2.242,-0.08733802,0.1052842,9.816555
2.261,-0.07776674,0.11844472,9.840483
2.28,-0.12083755,0.18424734,9.790234
