time_s,ax_ms2,ay_ms2,az_ms2
0.0,0.80877405,2.3623142,9.45464
0.022,-0.009571291,2.5142584,9.929018
0.043,-0.15134603,2.3670998,10.314262
0.064,0.3188436,2.3575284,9.75135
0.085,0.30329028,2.3509483,9.182457
0.106,0.5084748,2.6638098,8.891729
0.127,0.39720857,2.4586253,9.019147
0.148,0.381057,2.3988047,9.437292
0.169,0.29671,2.4466612,9.55813
0.19,0.24047868,2.3700907,9.6173525
0.211,0.038285162,2.3485553,9.633504
0.232,0.016151553,2.3401806,10.040284
0.253,0.15613168,2.274976,10.073783
0.274,0.43908295,2.3437698,9.415159
0.295,0.6029913,2.5591238,9.164511
0.316,0.5395815,2.5591238,9.134003
0.337,0.32662028,2.5633113,9.192028
0.358,0.025722843,2.638087,9.126225
0.379,-0.011365907,2.6021945,9.089137
0.4,0.020937199,2.4921248,9.221938
0.421,0.008374879,2.5429723,9.407382
0.442,-0.0059820567,2.5573292,9.29492
0.463,0.032303106,2.4993033,9.370294
0.485,0.13280165,2.472384,9.311669
0.506,0.06819545,2.4538395,9.193225
0.527,0.116650105,2.501696,9.237492
0.548,0.08973085,2.609373,9.288938
0.569,0.06520442,2.6129622,9.227921
0.59,0.02871387,2.6045876,9.038888
0.611,0.0849452,2.6273193,9.150154
0.632,0.0077766734,2.656033,9.148957
0.653,-0.15194423,2.656033,9.359526
0.674,-0.18005991,2.713461,9.343374
0.695,-0.10707881,2.6273193,9.634701
0.716,-0.08973085,2.5220351,9.580862
0.737,-0.14356937,2.5615165,9.472587
0.758,-0.06819545,2.6452653,9.319446
0.779,-0.124426775,2.667399,9.199206
0.8,-0.19322042,2.5998018,9.15494
0.821,-0.076570325,2.5902305,9.309875
0.842,-0.0849452,2.5477579,9.316455
0.863,0.023928227,2.5184457,9.346365
0.884,0.13579269,2.480759,9.342776
0.905,0.034695927,2.4311078,9.367303
0.926,-0.036490545,2.4711876,9.410374
0.948,-0.047856454,2.3437698,9.54138
0.969,0.13758731,2.321038,9.45464
0.99,0.08793623,2.3336003,9.37149
1.011,0.036490545,2.4281168,9.263215
1.032,0.016151553,2.4801607,9.145369
1.053,0.09451649,2.4658036,9.387642
1.074,0.07058827,2.5028925,9.475577
1.095,-0.0077766734,2.4616163,9.631709
1.116,-0.04965107,2.533401,9.57787
1.137,-0.047856454,2.5298119,9.357133
1.158,-0.032303106,2.6434708,9.132208
1.179,-0.15134603,2.626123,9.256635
1.2,-0.016151553,2.5633113,9.314062
1.221,0.03708875,2.3611178,9.456435
1.242,0.116650105,2.3575284,9.501301
1.263,0.12083755,2.3048863,9.638289
1.284,0.06699903,2.2223341,9.71486
1.305,0.019142581,2.2169502,9.61795
1.326,0.058624156,2.207977,9.5348
1.347,0.13100705,2.2378874,9.277572
1.368,0.15792629,2.2504497,9.172287
1.389,0.13220344,2.2857437,9.257233
1.411,0.15972091,2.2875385,9.343374
1.432,0.086141616,2.2743778,9.347562
1.453,0.07956135,2.2827528,9.37807
1.474,0.2009971,2.2863421,9.515657
1.495,0.2213361,2.2905295,9.559925
1.516,0.06699903,2.3132613,9.492926
1.537,0.025722843,2.3581266,9.42174
1.558,-0.030508488,2.3659034,9.416953
1.579,-0.06699903,2.3557339,9.431311
1.6,0.02751746,2.352743,9.437292
1.621,0.05383851,2.2289143,9.443872
1.642,0.044865426,2.0691934,9.622138
1.663,0.148355,1.9585253,9.963714
1.684,0.29192436,1.9034904,9.654441
1.705,0.43070808,2.0165513,9.486345
1.726,0.2727818,1.9848464,9.540782
1.747,0.2213361,2.1332014,9.134003
1.768,0.1902294,2.0751755,9.005388
1.789,0.17228323,2.0757737,9.488738
1.81,0.1788635,2.0470598,9.316455
1.831,0.27756742,2.1714866,9.347562
1.852,0.40857446,2.341377,8.949157
1.874,0.23569304,2.4149563,8.464012
1.895,0.11006984,2.4155545,9.067003
1.916,-0.19740787,2.268396,10.028918
1.937,-0.15493527,1.9680966,10.607981
1.958,0.17706887,2.035694,10.290932
