time_s,ax_ms2,ay_ms2,az_ms2
0.0,0.07776674,0.50488555,10.225129
0.02,0.058624156,0.48095736,10.076775
0.04,0.06819545,0.485743,10.08156
0.06,0.08255238,0.50488555,10.105488
0.08,0.0634098,0.485743,10.095917
0.1,0.058624156,0.49052864,10.100702
0.114,0.06819545,0.4953143,10.110274
0.134,0.06819545,0.4953143,10.110274
0.154,0.08015956,0.4977071,10.100702
0.174,0.0849452,0.4881358,10.095917
0.194,0.06580263,0.4833502,10.091131
0.214,0.08255238,0.4977071,10.088738
0.234,0.07537391,0.5024927,10.100702
0.253,0.07058827,0.4977071,10.105488
0.273,0.07298109,0.4977071,10.083953
0.293,0.07537391,0.49292147,10.100702
0.313,0.06580263,0.49052864,10.093524
0.333,0.06580263,0.48095736,10.083953
0.353,0.0634098,0.4833502,10.088738
0.373,0.08255238,0.4953143,10.083953
0.392,0.07537391,0.49052864,10.08156
0.412,0.07298109,0.50009996,10.079167
0.432,0.07058827,0.4881358,10.112667
0.452,0.07537391,0.4977071,10.105488
0.472,0.08015956,0.49052864,10.083953
0.492,0.06819545,0.4833502,10.0983095
0.512,0.06819545,0.485743,10.0983095
0.531,0.07058827,0.49292147,10.100702
0.551,0.06819545,0.49052864,10.095917
0.571,0.07776674,0.50009996,10.095917
0.591,0.06580263,0.4881358,10.088738
0.611,0.07537391,0.49052864,10.091131
0.631,0.08973085,0.485743,10.079167
0.65,0.07537391,0.4953143,10.112667
0.67,0.0849452,0.4833502,10.100702
0.69,0.07537391,0.50009996,10.100702
0.71,0.07537391,0.5024927,10.095917
0.73,0.08015956,0.47856453,10.083953
0.75,0.07058827,0.4881358,10.100702
0.77,0.07537391,0.4881358,10.093524
0.789,0.07058827,0.48095736,10.08156
0.809,0.07298109,0.4833502,10.095917
0.829,0.07537391,0.485743,10.0983095
0.849,0.06580263,0.49052864,10.088738
0.869,0.07776674,0.485743,10.091131
0.889,0.07058827,0.49052864,10.103095
0.909,0.06819545,0.48095736,10.093524
0.928,0.061016977,0.47856453,10.0983095
0.948,0.07537391,0.49052864,10.093524
0.968,0.07298109,0.49292147,10.093524
0.988,0.07776674,0.49292147,10.086346
1.008,0.08015956,0.50009996,10.110274
1.028,0.058624156,0.48095736,10.100702
1.048,0.09451649,0.4881358,10.112667
1.067,0.05623133,0.4977071,10.093524
1.087,0.06580263,0.4881358,10.095917
1.107,0.08733802,0.485743,10.091131
1.127,0.05383851,0.5192425,10.105488
1.147,0.09212367,0.48095736,10.093524
1.167,0.06819545,0.49052864,10.091131
1.186,0.05383851,0.51206404,10.105488
1.206,0.07537391,0.4761717,10.071989
1.226,0.08973085,0.4953143,10.088738
1.246,0.0634098,0.5072784,10.103095
